datetime,description,location,direction,lat,lon
06/21/2026 01:05:00,1179-Trfc Collision-1141 Enrt,I80 E / Eagle Lakes Rd Ofr,E,39.322186,-120.567698
06/21/2026 09:36:00,1125-Traffic Hazard,I80 W / I80 W Vista Point,W,39.327727,-120.275494
06/21/2026 13:32:00,1179-Trfc Collision-1141 Enrt,0 I80 W,W,39.375231,-120.10644
06/21/2026 15:19:00,CFIRE-Car Fire,0 I80 W,W,39.323851,-120.220073
06/21/2026 18:16:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
06/21/2026 18:55:00,20002-Hit and Run No Injuries,I80 E / Donner Pass Rd Ofr,E,39.323717,-120.221912
06/21/2026 22:06:00,1125-Traffic Hazard,I80 W / Donner Rest Area Ofr,W,39.343018,-120.337091
06/21/2026 22:49:00,1184-Provide Traffic Control,I80 E / Laing Rd Ofr,E,39.304635,-120.649501
