datetime,description,location,direction,lat,lon
07/03/2026 03:41:00,1125-Traffic Hazard,I80 E / Drum Forebay Rd Onr,E,39.239098,-120.752362
07/03/2026 07:28:00,20002-Hit and Run No Injuries,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
07/03/2026 09:20:00,1125-Traffic Hazard,I80 E / Baxter Rd Ofr,E,39.212758,-120.779991
07/03/2026 12:32:00,1125A-Animal Hazard,I80 W / Hirschdale Rd Ofr,W,39.384125,-120.083474
07/03/2026 16:10:00,1125-Traffic Hazard,I80 E / Sr267 Ofr,E,39.336546,-120.174034
07/03/2026 18:06:00,20002-Hit and Run No Injuries,I80 E / Farad Rd Onr,E,39.42499,-120.035569
07/03/2026 20:42:00,1125-Traffic Hazard,I80 E / Eagle Lakes Rd Onr,E,39.318729,-120.562119
07/03/2026 21:23:00,1179-Trfc Collision-1141 Enrt,I80 W / Sr20 Ofr,W,39.325944,-120.600658
