datetime,description,location,direction,lat,lon
09/21/2026 04:32:00,1125-Traffic Hazard,I80 E / Baxter Rd Ofr,E,39.212758,-120.779991
09/21/2026 04:48:00,1183-Trfc Collision-Unkn Inj,0 I80 E,E,39.255961,-120.731868
09/21/2026 09:14:00,CFIRE-Car Fire,I80 E / Hirschdale Rd Onr,E,39.383883,-120.085242
09/21/2026 12:23:00,1125-Traffic Hazard,I80 E / Floriston Way Ofr,E,39.394617,-120.025139
09/21/2026 13:16:00,1179-Trfc Collision-1141 Enrt,I80 W / Farad Rd Ofr,W,39.423046,-120.035705
09/21/2026 18:03:00,CZP-Assist with Construction,I80 E / Blue Canyon Rd Ofr,E,39.282385,-120.706475
09/21/2026 19:48:00,CZP-Assist with Construction,I80 E / Big Bend Ofr,E,39.305191,-120.52472
09/21/2026 19:54:00,1125-Traffic Hazard,I80 W / Rainbow Rd Ofr,W,39.311993,-120.495855
