datetime,description,location,direction,lat,lon
08/08/2026 08:21:00,1125-Traffic Hazard,0 I80 W,W,39.323838,-120.410955
08/08/2026 09:05:00,1125-Traffic Hazard,I80 E / Drum Forebay Rd Onr,E,39.239098,-120.752362
08/08/2026 12:25:00,DOT-Request CalTrans Notify,I80 E / Drum Forebay Rd Onr,E,39.239098,-120.752362
08/08/2026 19:41:00,CFIRE-Car Fire,I80 W / Central Truckee Ofr,W,39.328123,-120.189828
08/08/2026 20:39:00,1125-Traffic Hazard,I80 W / CISCO GROVE OFR,W,39.308485,-120.54154
08/08/2026 20:46:00,1125-Traffic Hazard,5000 I80 E,E,39.280263,-120.711054
