datetime,description,location,direction,lat,lon
01/10/2026 05:11:00,SNOW Information,I80 E / Kingvale Ofr,E,39.313691,-120.448574
01/10/2026 07:33:00,1125-Traffic Hazard,I80 W / Alta Ofr,W,39.202681,-120.809444
01/10/2026 09:02:00,1125-Traffic Hazard,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
01/10/2026 13:39:00,1125-Traffic Hazard,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
01/10/2026 14:34:00,1182-Trfc Collision-No Inj,I80 W / Drum Forebay Rd Ofr,W,39.239548,-120.752531
01/10/2026 18:18:00,1125-Traffic Hazard,I80 W / Sr20 Ofr,W,39.325944,-120.600658
