datetime,description,location,direction,lat,lon
01/12/2026 05:28:00,CZP-Assist with Construction,I80 E / Crystal Springs Ofr,E,39.207861,-120.788747
01/12/2026 12:11:00,20002-Hit and Run No Injuries,I80 W / FARAD RD OFR,W,39.423046,-120.035705
01/12/2026 12:37:00,1125-Traffic Hazard,I80 E / Cisco Grove Ofr,E,39.311303,-120.546982
01/12/2026 12:40:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
01/12/2026 13:30:00,1125-Traffic Hazard,I80 W / Hirschdale Rd Ofr,W,39.384125,-120.083474
