datetime,description,location,direction,lat,lon
08/10/2026 00:12:00,1182-Trfc Collision-No Inj,I80 E / Hirschdale Rd Onr,E,39.383883,-120.085242
08/10/2026 07:50:00,1125-Traffic Hazard,I80 E / Emigrant Gap Rd Ofr,E,39.301112,-120.664435
08/10/2026 16:24:00,1182-Trfc Collision-No Inj,I80 W / Central Truckee Onr,W,39.323311,-120.200437
08/10/2026 18:10:00,1182-Trfc Collision-No Inj,0 I80 W,W,39.343491,-120.333553
08/10/2026 18:33:00,CZP-Assist with Construction,I80 E / Blue Canyon Rd Ofr,E,39.279194,-120.71252
