datetime,description,location,direction,lat,lon
06/23/2026 05:47:00,MZP-Assist CT with Maintenance,I80 E / Kingvale Ofr,E,39.313691,-120.448574
06/23/2026 06:22:00,1184-Provide Traffic Control,I80 W / Central Truckee Onr,W,39.323311,-120.200437
06/23/2026 09:55:00,1125-Traffic Hazard,I80 W / Sr20 Onr,W,39.32324,-120.603678
06/23/2026 10:38:00,20002-Hit and Run No Injuries,0 I80 E,E,39.442697,-120.012349
06/23/2026 12:59:00,1125-Traffic Hazard,I80 W / Alta Ofr,W,39.202681,-120.809444
06/23/2026 16:46:00,ANIMAL-Live or Dead Animal,I80 W / Rainbow Rd Ofr,W,39.311993,-120.495855
06/23/2026 19:02:00,BREAK-Traffic Break,I80 E / Alta Onr,E,39.202659,-120.808916
06/23/2026 21:08:00,BREAK-Traffic Break,I80 W / BLUE CANYON RD OFR,W,39.286181,-120.699856
06/23/2026 21:45:00,BREAK-Traffic Break,I80 W / Blue Canyon Rd Onr,W,39.279525,-120.713177
06/23/2026 22:07:00,DOT-Request CalTrans Notify,Drum Forebay Rd Ofr / I80 W,W,39.239548,-120.752531
