datetime,description,location,direction,lat,lon
06/15/2026 06:44:00,MZP-Assist CT with Maintenance,I80 E / Kingvale Ofr,E,39.313691,-120.448574
06/15/2026 07:17:00,1183-Trfc Collision-Unkn Inj,I80 E / Sr20 Onr,E,39.325993,-120.595783
06/15/2026 11:14:00,1125-Traffic Hazard,I80 W / Sr89 N Onr,W,39.332782,-120.183201
06/15/2026 11:44:00,1182-Trfc Collision-No Inj,I80 E / Floriston Way Ofr,E,39.394617,-120.025139
06/15/2026 17:10:00,1184-Provide Traffic Control,I80 E / Baxter Rd Onr,E,39.216333,-120.775219
06/15/2026 18:15:00,1125-Traffic Hazard,I80 W / Sr89 S Ofr,W,39.323112,-120.201776
