datetime,description,location,direction,lat,lon
02/19/2026 08:22:00,1125-Traffic Hazard,I80 W / Blue Canyon Rd Onr,W,39.279525,-120.713177
02/19/2026 08:28:00,1125-Traffic Hazard,I80 E / Blue Canyon Rd Ofr,E,39.279194,-120.71252
02/19/2026 08:34:00,1125-Traffic Hazard,0 I80 E,E,39.324097,-120.225046
02/19/2026 08:46:00,1182-Trfc Collision-No Inj,I80 W / Cisco Grove Ofr,W,39.308485,-120.54154
02/19/2026 09:51:00,1125-Traffic Hazard,I80 W / Drum Forebay Rd Ofr,W,39.239548,-120.752531
02/19/2026 09:50:00,SPINOUT,I80 E / Kingvale Onr,E,39.314926,-120.441638
02/19/2026 09:49:00,1182-Trfc Collision-No Inj,I80 W / Kingvale Ofr,W,39.315282,-120.441787
02/19/2026 09:56:00,SPINOUT,I80 E / Rainbow Rd Ofr,E,39.311775,-120.504405
02/19/2026 10:07:00,1125-Traffic Hazard,I80 E / Rainbow Rd Ofr,E,39.311775,-120.504405
02/19/2026 10:51:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
02/19/2026 10:55:00,1125-Traffic Hazard,I80 W / Baxter Rd Ofr,W,39.216667,-120.775205
02/19/2026 11:09:00,1182-Trfc Collision-No Inj,I80 E / Cisco Grove Ofr,E,39.311303,-120.546982
02/19/2026 14:40:00,SPINOUT,I80 W / Soda Springs Ofr,W,39.326984,-120.39026
02/19/2026 16:18:00,1182-Trfc Collision-No Inj,I80 E / Farad Rd Ofr,E,39.420738,-120.03343
02/19/2026 16:57:00,1125-Traffic Hazard,0 I80 W,W,39.331255,-120.584773
02/19/2026 19:50:00,1184-Provide Traffic Control,I80 W / Donner Pass Rd Ofr,W,39.323961,-120.221726
02/19/2026 22:18:00,1125-Traffic Hazard,I80 E / Emigrant Gap Rd Ofr,E,39.301112,-120.664435
