datetime,description,location,direction,lat,lon
04/01/2026 05:51:00,1125-Traffic Hazard,I80 E / Emigrant Gap Rd Onr,E,39.303087,-120.656688
04/01/2026 06:25:00,CZP-Assist with Construction,I80 W / Floriston Way Onr,W,39.390657,-120.025135
04/01/2026 06:45:00,1182-Trfc Collision-No Inj,I80 W / Soda Springs Onr,W,39.324405,-120.395814
04/01/2026 07:00:00,1125-Traffic Hazard,I80 E / Eagle Lakes Rd Onr,E,39.318729,-120.562119
04/01/2026 08:47:00,1183-Trfc Collision-Unkn Inj,I80 W / Donner Pass Rd Ofr,W,39.323961,-120.221726
04/01/2026 09:05:00,1125A-Animal Hazard,I80 E / Sr267 Ofr,E,39.336546,-120.174034
04/01/2026 09:26:00,1125-Traffic Hazard,0 I80 E,E,39.340947,-120.342043
04/01/2026 15:33:00,1179-Trfc Collision-1141 Enrt,I80 E / Castle Peak Rd Ofr,E,39.336981,-120.352703
04/01/2026 15:32:00,SPINOUT,0 I80 W,W,39.341739,-120.341535
04/01/2026 16:45:00,1125-Traffic Hazard,I80 W / Donner Pass Rd Ofr,W,39.323961,-120.221726
04/01/2026 16:56:00,1182-Trfc Collision-No Inj,0 I80 W,W,39.341929,-120.340873
04/01/2026 17:58:00,1125-Traffic Hazard,I80 E / Castle Peak Rd Ofr,E,39.336981,-120.352703
04/01/2026 18:06:00,1179-Trfc Collision-1141 Enrt,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
04/01/2026 18:04:00,SPINOUT,I80 E / Soda Springs Onr,E,39.326575,-120.389587
04/01/2026 22:21:00,1183-Trfc Collision-Unkn Inj,0 I80 E,E,39.336078,-120.30674
04/01/2026 22:49:00,1125-Traffic Hazard,I80 E / Castle Peak Rd Onr,E,39.339623,-120.346507
