datetime,description,location,direction,lat,lon
07/13/2026 05:22:00,MZP-Assist CT with Maintenance,I80 E / KINGVALE OFR,E,39.313691,-120.448574
07/13/2026 08:06:00,1183-Trfc Collision-Unkn Inj,I80 E / Farad Rd Ofr,E,39.420738,-120.03343
07/13/2026 11:39:00,1125-Traffic Hazard,I80 E / Kingvale Ofr,E,39.313691,-120.448574
07/13/2026 12:05:00,1125-Traffic Hazard,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
07/13/2026 13:59:00,1182-Trfc Collision-No Inj,I80 W / Crystal Springs Onr,W,39.207975,-120.788814
07/13/2026 18:50:00,1125-Traffic Hazard,I80 E / Floriston Way Onr,E,39.396289,-120.023579
07/13/2026 19:20:00,CFIRE-Car Fire,I80 E / Donner Lake Ofr,E,39.329487,-120.292543
07/13/2026 20:14:00,1179-Trfc Collision-1141 Enrt,I80 E / Donner Lake Ofr,E,39.328067,-120.301406
07/13/2026 20:16:00,WW-Wrong Way Driver,0 I80 W,W,39.334925,-120.305425
07/13/2026 20:35:00,1125-Traffic Hazard,I80 W / Farad Rd Ofr,W,39.423046,-120.035705
