datetime,description,location,direction,lat,lon
08/19/2026 04:50:00,1125-Traffic Hazard,I80 E,E,39.279609,-120.712062
08/19/2026 19:07:00,CZP-Assist with Construction,I80 E / Blue Canyon Rd Onr,E,39.285024,-120.700769
