datetime,description,location,direction,lat,lon
05/08/2026 02:00:00,1182-Trfc Collision-No Inj,0 I80 E,E,39.325905,-120.597778
05/08/2026 06:20:00,MZP-Assist CT with Maintenance,I80 W / Sr20 Ofr,W,39.323175,-120.604138
05/08/2026 11:08:00,1125-Traffic Hazard,I80 E / Donner Lake Ofr,E,39.329487,-120.292543
05/08/2026 15:39:00,1182-Trfc Collision-No Inj,I80 W / Hirschdale Rd Ofr,W,39.384125,-120.083474
05/08/2026 18:44:00,1125-Traffic Hazard,I80 W / Sr20 Ofr,W,39.323175,-120.604138
05/08/2026 18:52:00,BREAK-Traffic Break,I80 W / Eagle Lakes Rd Ofr,W,39.320443,-120.560778
