datetime,description,location,direction,lat,lon
05/14/2026 02:02:00,1125-Traffic Hazard,I80 W / I80 W Vista Point,W,39.327727,-120.275494
05/14/2026 03:47:00,1179-Trfc Collision-1141 Enrt,0 I80 W,W,39.337162,-120.353248
05/14/2026 05:47:00,MZP-Assist CT with Maintenance,I80 E / Kingvale Ofr,E,39.313691,-120.448574
05/14/2026 05:58:00,1183-Trfc Collision-Unkn Inj,I80 E / Sr20 Onr,E,39.325993,-120.595783
05/14/2026 06:28:00,MZP-Assist CT with Maintenance,I80 W / Sr20 Ofr,W,39.323175,-120.604138
05/14/2026 07:22:00,CZP-Assist with Construction,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
