datetime,description,location,direction,lat,lon
02/20/2026 00:27:00,1125-Traffic Hazard,0 I80 E,E,39.207861,-120.788747
02/20/2026 03:53:00,1125-Traffic Hazard,I80 W / Soda Springs Ofr,W,39.326984,-120.39026
02/20/2026 07:27:00,1183-Trfc Collision-Unkn Inj,I80 W / Emigrant Gap Rd Ofr,W,39.303314,-120.657263
02/20/2026 07:37:00,1125-Traffic Hazard,I80 E / KINGVALE ONR,E,39.314926,-120.441638
02/20/2026 07:57:00,1125-Traffic Hazard,I80 W / Sr20 Ofr,W,39.325944,-120.600658
02/20/2026 08:20:00,1125-Traffic Hazard,I80 E / Laing Rd Ofr,E,39.304635,-120.649501
02/20/2026 08:37:00,1125-Traffic Hazard,I80 E / Sr89 S Ofr,E,39.323018,-120.21095
02/20/2026 08:53:00,1125-Traffic Hazard,I80 W / Drum Forebay Rd Ofr,W,39.239548,-120.752531
02/20/2026 11:50:00,1125-Traffic Hazard,0 I80 W,W,39.341739,-120.341535
02/20/2026 12:32:00,1125-Traffic Hazard,I80 W / Sr20 Ofr,W,39.325944,-120.600658
02/20/2026 13:41:00,1125-Traffic Hazard,I80 W / Sr89 S Ofr,W,39.323112,-120.201776
02/20/2026 13:46:00,1125-Traffic Hazard,I80 W / I80 W Vista Point,W,39.329382,-120.280909
02/20/2026 14:10:00,SPINOUT,I80 W / Donner Pass Rd E Onr,W,39.324383,-120.225976
02/20/2026 14:30:00,1125-Traffic Hazard,I80 W / Emigrant Gap Rd Ofr,W,39.303314,-120.657263
02/20/2026 14:25:00,1125-Traffic Hazard,I80 W / Eagle Lakes Rd Ofr,W,39.320443,-120.560778
02/20/2026 14:52:00,1179-Trfc Collision-1141 Enrt,I80 W / Sr89 S Ofr,W,39.323112,-120.201776
02/20/2026 15:07:00,CFIRE-Car Fire,I80 W / Alta Ofr,W,39.202681,-120.809444
02/20/2026 16:25:00,1125-Traffic Hazard,Sr20 Ofr / I80 W,W,39.325944,-120.600658
02/20/2026 16:32:00,1125-Traffic Hazard,I80 W / Kingvale Ofr,W,39.315282,-120.441787
02/20/2026 18:04:00,1125-Traffic Hazard,I80 W / Kingvale Ofr,W,39.315282,-120.441787
02/20/2026 20:13:00,1125-Traffic Hazard,I80 W / Soda Springs Ofr,W,39.326984,-120.39026
02/20/2026 23:57:00,1125-Traffic Hazard,0 I80 E,E,39.322024,-120.4058
