datetime,description,location,direction,lat,lon
01/03/2026 00:36:00,1125-Traffic Hazard,0 I80 E,E,39.338285,-120.308477
01/03/2026 01:31:00,1125-Traffic Hazard,0 I80 W,W,39.322627,-120.408127
01/03/2026 01:59:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
01/03/2026 02:18:00,1125-Traffic Hazard,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
01/03/2026 08:24:00,SPINOUT,I80 W / Castle Peak Rd Ofr,W,39.34032,-120.346445
01/03/2026 08:42:00,1125-Traffic Hazard,I80 E / Castle Peak Rd Ofr,E,39.336981,-120.352703
01/03/2026 08:54:00,1182-Trfc Collision-No Inj,I80 W / Soda Springs Ofr,W,39.326984,-120.39026
01/03/2026 09:05:00,1182-Trfc Collision-No Inj,I80 E / Soda Springs Onr,E,39.326575,-120.389587
01/03/2026 13:31:00,ANIMAL-Live or Dead Animal,I80 W / Sr89 N Onr,W,39.332782,-120.183201
01/03/2026 13:47:00,1125-Traffic Hazard,I80 W / Yuba Gap Ofr,W,39.319139,-120.61021
01/03/2026 14:42:00,1183-Trfc Collision-Unkn Inj,I80 E / Rainbow Rd Onr,E,39.311615,-120.495585
01/03/2026 15:02:00,SPINOUT,I80 W / Castle Peak Rd Ofr,W,39.34032,-120.346445
01/03/2026 15:07:00,SPINOUT,I80 E / Kingvale Ofr,E,39.313691,-120.448574
01/03/2026 15:10:00,1125-Traffic Hazard,I80 W / Baxter Rd Ofr,W,39.216667,-120.775205
01/03/2026 15:32:00,1179-Trfc Collision-1141 Enrt,I80 E / Soda Springs Onr,E,39.326575,-120.389587
01/03/2026 16:27:00,1179-Trfc Collision-1141 Enrt,0 I80 E,E,39.379023,-120.100362
01/03/2026 17:12:00,1125-Traffic Hazard,I80 W / Donner Pass Rd Ofr,W,39.323961,-120.221726
01/03/2026 17:53:00,1125-Traffic Hazard,0 I80 W,W,39.381546,-120.096511
01/03/2026 20:53:00,SPINOUT,I80 E / Donner Lake Ofr,E,39.329487,-120.292543
01/03/2026 21:13:00,1125-Traffic Hazard,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
01/03/2026 22:23:00,1125-Traffic Hazard,I80 W / Scales,W,39.36185,-120.131176
01/03/2026 22:21:00,SPINOUT,I80 E / Emigrant Gap Rd Ofr,E,39.301112,-120.664435
01/03/2026 22:14:00,20002-Hit and Run No Injuries,I80 W / Kingvale Ofr,W,39.315282,-120.441787
