datetime,description,location,direction,lat,lon
09/14/2026 05:04:00,1182-Trfc Collision-No Inj,I80 E / Castle Peak Rd Ofr,E,39.336981,-120.352703
09/14/2026 05:18:00,MZP-Assist CT with Maintenance,I80 E / Kingvale Onr,E,39.314926,-120.441638
09/14/2026 07:21:00,CZP-Assist with Construction,I80 E / Floriston Way Onr,E,39.396289,-120.023579
09/14/2026 08:08:00,ANIMAL-Live or Dead Animal,I80 W / Kingvale Ofr,W,39.315282,-120.441787
09/14/2026 16:59:00,1179-Trfc Collision-1141 Enrt,I80 E / Yuba Gap Ofr,E,39.315423,-120.617204
09/14/2026 18:26:00,CZP-Assist with Construction,I80 E / Blue Canyon Rd Ofr,E,39.282385,-120.706475
