datetime,description,location,direction,lat,lon
01/02/2026 14:19:00,1125-Traffic Hazard,I80 W / Central Truckee Ofr,W,39.328123,-120.189828
01/02/2026 20:23:00,DOT-Request CalTrans Notify,I80 E / Overland Trail Ofr,E,39.352695,-120.149269
01/02/2026 20:20:00,1125-Traffic Hazard,I80 W / Cisco Grove Ofr,W,39.308485,-120.54154
01/02/2026 22:00:00,DOT-Request CalTrans Notify,I80 E Donner Rest Area / Donner Rest Area Onr,E,39.34154,-120.338787
01/02/2026 22:22:00,1183-Trfc Collision-Unkn Inj,0 I80 W,W,39.326864,-120.380847
01/02/2026 22:24:00,1183-Trfc Collision-Unkn Inj,0 I80 W,W,39.328412,-120.369595
01/02/2026 22:50:00,1125-Traffic Hazard,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
