datetime,description,location,direction,lat,lon
05/12/2026 06:18:00,CZP-Assist with Construction,Sr20 Ofr / I80 W,W,39.325944,-120.600658
05/12/2026 06:46:00,1182-Trfc Collision-No Inj,I80 W / Farad Rd Ofr,W,39.423046,-120.035705
05/12/2026 06:58:00,CZP-Assist with Construction,I80 W / Rainbow Rd Ofr,W,39.311993,-120.495855
05/12/2026 07:16:00,CZP-Assist with Construction,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
05/12/2026 08:42:00,1125-Traffic Hazard,I80 E / Baxter Rd Ofr,E,39.212758,-120.779991
05/12/2026 09:47:00,1125-Traffic Hazard,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
05/12/2026 11:54:00,20002-Hit and Run No Injuries,I80 W / Farad Rd Ofr,W,39.438711,-120.020924
05/12/2026 12:35:00,SPINOUT,0 I80 E,E,39.340947,-120.342043
05/12/2026 14:55:00,1179-Trfc Collision-1141 Enrt,I80 E / Farad Rd Onr,E,39.42499,-120.035569
