datetime,description,location,direction,lat,lon
01/05/2026 04:13:00,SPINOUT,I80 E / Yuba Gap Ofr,E,39.315423,-120.617204
01/05/2026 05:30:00,SNOW Information,I80 E / Donner Pass Rd Ofr,E,39.323717,-120.221912
01/05/2026 05:58:00,SPINOUT,I80 W / Rainbow Rd Onr,W,39.312045,-120.50199
01/05/2026 05:55:00,1183-Trfc Collision-Unkn Inj,I80 E / Drum Forebay Rd Onr,E,39.239098,-120.752362
01/05/2026 06:51:00,SPINOUT,I80 W / Emigrant Gap Rd Ofr,W,39.303314,-120.657263
01/05/2026 07:06:00,SPINOUT,I80 E / Blue Canyon Rd Ofr,E,39.279194,-120.71252
01/05/2026 07:21:00,1125-Traffic Hazard,I80 E / Blue Canyon Rd Onr,E,39.285024,-120.700769
01/05/2026 08:40:00,1182-Trfc Collision-No Inj,I80 E / Big Bend Ofr,E,39.305191,-120.52472
01/05/2026 09:08:00,SPINOUT,I80 E / Donner Pass Rd Onr,E,39.324226,-120.226189
01/05/2026 09:14:00,1125-Traffic Hazard,I80 E / Donner Rest Area Onr,E,39.342516,-120.336435
01/05/2026 10:57:00,SPINOUT,I80 W / Eagle Lakes Rd Ofr,W,39.320443,-120.560778
01/05/2026 11:14:00,1182-Trfc Collision-No Inj,I80 E / Cisco Grove Ofr,E,39.311303,-120.546982
01/05/2026 12:21:00,1125-Traffic Hazard,I80 E / Blue Canyon Rd Onr,E,39.285024,-120.700769
01/05/2026 12:18:00,1125-Traffic Hazard,I80 W / Sr89 S Ofr,W,39.323112,-120.201776
01/05/2026 12:57:00,1182-Trfc Collision-No Inj,I80 W / Yuba Gap Onr,W,39.315897,-120.617105
01/05/2026 13:54:00,1125-Traffic Hazard,0 I80 E,E,39.327512,-120.295607
