datetime,description,location,direction,lat,lon
04/22/2026 02:40:00,1125-Traffic Hazard,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
04/22/2026 04:02:00,1125-Traffic Hazard,I80 W / Sr20 Ofr,W,39.325944,-120.600658
04/22/2026 04:04:00,1125-Traffic Hazard,Cisco Grove Ofr / I80 E,E,39.311303,-120.546982
04/22/2026 04:44:00,1125-Traffic Hazard,I80 E / Yuba Gap Ofr,E,39.315423,-120.617204
04/22/2026 04:58:00,1125-Traffic Hazard,I80 E / Yuba Gap Ofr,E,39.315423,-120.617204
04/22/2026 05:17:00,1125-Traffic Hazard,I80 W / Sr20 Ofr,W,39.325944,-120.600658
04/22/2026 09:33:00,SPINOUT,I80 W / CASTLE PEAK RD OFR,W,39.34032,-120.346445
04/22/2026 09:42:00,1125-Traffic Hazard,I80 E / Rainbow Rd Ofr,E,39.311775,-120.504405
04/22/2026 16:57:00,SNOW Information,I80 E / Kingvale Ofr,E,39.313691,-120.448574
04/22/2026 17:44:00,1182-Trfc Collision-No Inj,I80 E / Floriston Way Onr,E,39.396289,-120.023579
