datetime,description,location,direction,lat,lon
08/05/2026 05:25:00,MZP-Assist CT with Maintenance,I80 E / Kingvale Ofr,E,39.313691,-120.448574
08/05/2026 14:18:00,1182-Trfc Collision-No Inj,I80 W / OVERLAND TRAIL OFR,W,39.357097,-120.144019
08/05/2026 16:29:00,1125-Traffic Hazard,I80 E / Floriston Way Onr,E,39.404417,-120.025845
08/05/2026 18:52:00,1125-Traffic Hazard,I80 E / Donner Lake Ofr,E,39.329487,-120.292543
08/05/2026 19:59:00,1125-Traffic Hazard,I80 E / Crystal Springs Onr,E,39.210588,-120.783731
