datetime,description,location,direction,lat,lon
09/09/2026 04:55:00,1125-Traffic Hazard,I80 E / Kingvale Ofr,E,39.313691,-120.448574
09/09/2026 08:36:00,CFIRE-Car Fire,I80 E / Rainbow Rd Ofr,E,39.311775,-120.504405
09/09/2026 08:48:00,1182-Trfc Collision-No Inj,0 I80 W Donner Pass Inspection Facility,W,39.361387,-120.134211
09/09/2026 15:26:00,1125-Traffic Hazard,I80 W / I80 W Vista Point,W,39.329382,-120.280909
09/09/2026 16:34:00,CZP-Assist with Construction,I80 E / Blue Canyon Rd Onr,E,39.285024,-120.700769
09/09/2026 17:41:00,1125-Traffic Hazard,Sr20 Ofr / I80 W,W,39.325944,-120.600658
