datetime,description,location,direction,lat,lon
04/11/2026 00:04:00,1125-Traffic Hazard,I80 W / Kingvale Ofr,W,39.315282,-120.441787
04/11/2026 05:12:00,1125-Traffic Hazard,I80 W / I80 W Vista Point,W,39.329382,-120.280909
04/11/2026 05:38:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
04/11/2026 06:31:00,1125-Traffic Hazard,I80 W / Kingvale Ofr,W,39.315282,-120.441787
04/11/2026 07:10:00,SPINOUT,I80 W / Soda Springs Ofr,W,39.326984,-120.39026
04/11/2026 09:08:00,1125-Traffic Hazard,I80 W / I80 W Vista Point,W,39.329382,-120.280909
04/11/2026 10:08:00,1125-Traffic Hazard,I80 W / Donner Pass Rd Ofr,W,39.323961,-120.221726
04/11/2026 22:26:00,1179-Trfc Collision-1141 Enrt,0 I80 W,W,39.227149,-120.763544
04/11/2026 23:13:00,1125-Traffic Hazard,Sr20 Ofr / I80 W,W,39.325944,-120.600658
04/11/2026 23:32:00,1125-Traffic Hazard,I80 E / Sr89 S Ofr,E,39.323018,-120.21095
04/11/2026 23:30:00,1125-Traffic Hazard,I80 W / Nyack Rd Ofr,W,39.299211,-120.672239
04/11/2026 23:45:00,1125-Traffic Hazard,I80 E / Central Truckee Ofr,E,39.323946,-120.19714
