datetime,description,location,direction,lat,lon
01/04/2026 06:58:00,1183-Trfc Collision-Unkn Inj,I80 E / Cisco Grove Ofr,E,39.311303,-120.546982
01/04/2026 07:05:00,1182-Trfc Collision-No Inj,I80 W / Hirschdale Rd Ofr,W,39.384125,-120.083474
01/04/2026 07:15:00,1125-Traffic Hazard,I80 E / Castle Peak Rd Ofr,E,39.336981,-120.352703
01/04/2026 07:33:00,1183-Trfc Collision-Unkn Inj,I80 W / Hirschdale Rd Ofr,W,39.384125,-120.083474
01/04/2026 07:36:00,SPINOUT,I80 E / Blue Canyon Rd Ofr,E,39.279194,-120.71252
01/04/2026 08:12:00,SPINOUT,I80 E / Blue Canyon Rd Ofr,E,39.279194,-120.71252
01/04/2026 08:49:00,SPINOUT,I80 W / Blue Canyon Rd Onr,W,39.279525,-120.713177
01/04/2026 09:10:00,1125-Traffic Hazard,0 I80 W,W,39.312785,-120.507962
01/04/2026 10:57:00,1125-Traffic Hazard,I80 E / Hirschdale Rd Ofr,E,39.379644,-120.099335
01/04/2026 11:12:00,SPINOUT,I80 W / Nyack Rd Ofr,W,39.294316,-120.677098
01/04/2026 11:30:00,1125-Traffic Hazard,I80 W / Kingvale Ofr,W,39.315282,-120.441787
01/04/2026 11:35:00,1125-Traffic Hazard,I80 E / Soda Springs Onr,E,39.326575,-120.389587
01/04/2026 11:56:00,1125-Traffic Hazard,0 I80 E,E,39.313465,-120.470324
01/04/2026 12:46:00,1125-Traffic Hazard,I80 W / Emigrant Gap Rd Ofr,W,39.303314,-120.657263
01/04/2026 13:10:00,SPINOUT,I80 W / Central Truckee Ofr,W,39.328123,-120.189828
01/04/2026 13:35:00,20002-Hit and Run No Injuries,0 I80 E Donner Rest Area,E,39.340931,-120.341167
01/04/2026 13:43:00,SPINOUT,I80 W / Soda Springs Ofr,W,39.326984,-120.39026
01/04/2026 14:57:00,SPINOUT,I80 E / Sr20 Ofr,E,39.325188,-120.601347
01/04/2026 16:41:00,1183-Trfc Collision-Unkn Inj,I80 W / Sr20 Onr,W,39.32324,-120.603678
01/04/2026 16:38:00,1125-Traffic Hazard,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
01/04/2026 16:55:00,1125-Traffic Hazard,I80 E / Donner Lake Ofr,E,39.329487,-120.292543
01/04/2026 18:26:00,1182-Trfc Collision-No Inj,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
01/04/2026 19:08:00,1125-Traffic Hazard,I80 W / CASTLE PEAK RD OFR,W,39.34032,-120.346445
01/04/2026 22:53:00,1125-Traffic Hazard,Kingvale Onr / I80 E,E,39.314926,-120.441638
