datetime,description,location,direction,lat,lon
05/22/2026 05:22:00,CZP-Assist with Construction,I80 E / Sr20 Ofr,E,39.325188,-120.601347
05/22/2026 06:56:00,WW-Wrong Way Driver,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
05/22/2026 07:35:00,1182-Trfc Collision-No Inj,I80 W / Central Truckee Ofr,W,39.328123,-120.189828
05/22/2026 07:51:00,1182-Trfc Collision-No Inj,0 I80 E,E,39.319179,-120.563286
05/22/2026 09:12:00,1125-Traffic Hazard,I80 W / Hirschdale Rd Ofr,W,39.384125,-120.083474
05/22/2026 12:06:00,1125-Traffic Hazard,0 I80 E,E,39.322068,-120.404574
05/22/2026 12:14:00,1013-Road/Weather Conditions,I80 E Donner Rest Area / Donner Rest Area Ofr,E,39.340757,-120.34205
05/22/2026 13:02:00,SPINOUT,0 I80 E,E,39.324097,-120.225046
05/22/2026 13:01:00,SPINOUT,I80 E / Donner Pass Rd Ofr,E,39.330747,-120.247004
05/22/2026 13:20:00,1183-Trfc Collision-Unkn Inj,I80 W / EAGLE LAKES RD ONR,W,39.324144,-120.564675
05/22/2026 19:58:00,1125-Traffic Hazard,0 I80 W,W,39.308181,-120.643631
05/22/2026 20:29:00,1125-Traffic Hazard,0 I80 E,E,39.374786,-120.067407
