datetime,description,location,direction,lat,lon
07/10/2026 10:12:00,1179-Trfc Collision-1141 Enrt,I80 W / Donner Pass Rd Ofr,W,39.323961,-120.221726
07/10/2026 11:22:00,CFIRE-Car Fire,I80 E / Rainbow Rd Onr,E,39.311615,-120.495585
07/10/2026 15:04:00,1125-Traffic Hazard,I80 E / Floriston Way Ofr,E,39.394617,-120.025139
07/10/2026 19:05:00,1179-Trfc Collision-1141 Enrt,0 I80 E,E,39.329572,-120.303054
07/10/2026 19:18:00,1183-Trfc Collision-Unkn Inj,I80 E / Kingvale Onr,E,39.314926,-120.441638
