datetime,description,location,direction,lat,lon
01/18/2026 01:34:00,1125-Traffic Hazard,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
01/18/2026 08:24:00,1183-Trfc Collision-Unkn Inj,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
01/18/2026 09:03:00,SPINOUT,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
01/18/2026 12:34:00,1125-Traffic Hazard,I80 E / Cisco Rd Onr,E,39.308126,-120.541681
01/18/2026 13:15:00,1125-Traffic Hazard,I80 E / Donner Rest Area Onr,E,39.342516,-120.336435
01/18/2026 17:04:00,FIRE-Report of Fire,0 I80 E,E,39.366952,-120.115262
01/18/2026 17:11:00,CFIRE-Car Fire,I80 W / Ag Station,W,39.360628,-120.136681
01/18/2026 17:50:00,1125-Traffic Hazard,I80 W / Donner Rest Area Ofr,W,39.343018,-120.337091
