datetime,description,location,direction,lat,lon
03/16/2026 06:08:00,CZP-Assist with Construction,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
03/16/2026 10:56:00,1125-Traffic Hazard,I80 E / Sr267 Ofr,E,39.336546,-120.174034
03/16/2026 13:57:00,1125-Traffic Hazard,I80 W / Baxter Rd Ofr,W,39.216667,-120.775205
03/16/2026 14:33:00,1125-Traffic Hazard,I80 E / Donner Pass Rd Ofr,E,39.330747,-120.247004
03/16/2026 18:10:00,1125-Traffic Hazard,I80 E / Floriston Way Onr,E,39.396289,-120.023579
03/16/2026 18:36:00,1179-Trfc Collision-1141 Enrt,Big Bend Ofr / I80 E,E,39.305191,-120.52472
03/16/2026 19:23:00,1182-Trfc Collision-No Inj,0 I80 E,E,39.42499,-120.035569
03/16/2026 19:21:00,1125-Traffic Hazard,I80 E / Floriston Way Ofr,E,39.394617,-120.025139
03/16/2026 23:54:00,CFIRE-Car Fire,I80 E / Nyack Rd Onr,E,39.294273,-120.676771
