datetime,description,location,direction,lat,lon
08/06/2026 10:12:00,1125-Traffic Hazard,I80 E / Nyack Rd Onr,E,39.294273,-120.676771
08/06/2026 11:49:00,1125-Traffic Hazard,I80 E / Floriston Way Ofr,E,39.394617,-120.025139
08/06/2026 12:21:00,20002-Hit and Run No Injuries,0 I80 W,W,39.323561,-120.217353
08/06/2026 14:17:00,1183-Trfc Collision-Unkn Inj,I80 E / Rainbow Rd Onr,E,39.311615,-120.495585
08/06/2026 15:47:00,1125-Traffic Hazard,I80 E / Eagle Lakes Rd Ofr,E,39.322186,-120.567698
08/06/2026 15:59:00,1125-Traffic Hazard,I80 E / Drum Forebay Rd Onr,E,39.239098,-120.752362
