datetime,description,location,direction,lat,lon
04/13/2026 01:18:00,1182-Trfc Collision-No Inj,I80 W / Sr20 Ofr,W,39.325944,-120.600658
04/13/2026 02:38:00,1125-Traffic Hazard,5000 I80 E,E,39.280263,-120.711054
04/13/2026 02:50:00,1125-Traffic Hazard,I80 W / Yuba Gap Ofr,W,39.319139,-120.61021
04/13/2026 02:53:00,1125-Traffic Hazard,0 I80 W,W,39.335427,-120.305662
04/13/2026 03:37:00,1125-Traffic Hazard,0 I80 W,W,39.339072,-120.308376
04/13/2026 11:39:00,1125-Traffic Hazard,I80 W / Yuba Gap Ofr,W,39.319139,-120.61021
04/13/2026 13:42:00,1125-Traffic Hazard,I80 W / Cisco Rd Onr,W,39.311305,-120.546189
04/13/2026 13:39:00,1125-Traffic Hazard,I80 E / Eagle Lakes Rd Ofr,E,39.322186,-120.567698
04/13/2026 15:09:00,23114-Object Flying From Veh,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
04/13/2026 15:23:00,1184-Provide Traffic Control,I80 W / Blue Canyon Rd Onr,W,39.283058,-120.706629
04/13/2026 23:36:00,1125-Traffic Hazard,Truckee Ofr / I80 E,E,39.334864,-120.17922
