datetime,description,location,direction,lat,lon
07/05/2026 00:04:00,1183-Trfc Collision-Unkn Inj,0 I80 E,E,39.398293,-120.022039
07/05/2026 01:28:00,1179-Trfc Collision-1141 Enrt,0 I80 W,W,39.326323,-120.596211
07/05/2026 03:13:00,1182-Trfc Collision-No Inj,0 I80 E,E,39.374762,-120.067345
07/05/2026 11:49:00,1182-Trfc Collision-No Inj,I80 W / KINGVALE OFR,W,39.315282,-120.441787
07/05/2026 12:40:00,1125-Traffic Hazard,I80 W / Donner Pass Inspection Facility Ofr,W,39.361433,-120.131663
07/05/2026 13:04:00,1125-Traffic Hazard,I80 W / Blue Canyon Rd Onr,W,39.279525,-120.713177
07/05/2026 12:50:00,1125-Traffic Hazard,I80 E / Castle Peak Rd Ofr,E,39.336981,-120.352703
07/05/2026 14:34:00,1182-Trfc Collision-No Inj,I80 E Donner Rest Area / Donner Rest Area Onr,E,39.34154,-120.338787
07/05/2026 14:58:00,1125-Traffic Hazard,I80 W / KINGVALE OFR,W,39.315282,-120.441787
07/05/2026 16:44:00,1182-Trfc Collision-No Inj,Cisco Rd Onr / I80 E,E,39.308126,-120.541681
07/05/2026 17:03:00,1125-Traffic Hazard,0 I80 W,W,39.314011,-120.476183
07/05/2026 17:25:00,1182-Trfc Collision-No Inj,0 I80 W,W,39.341173,-120.343499
07/05/2026 17:42:00,1125-Traffic Hazard,I80 E / Big Bend Ofr,E,39.305191,-120.52472
07/05/2026 19:55:00,1125-Traffic Hazard,I80 W / Yuba Gap Ofr,W,39.319139,-120.61021
07/05/2026 20:38:00,1125-Traffic Hazard,I80 W / Kingvale Ofr,W,39.315282,-120.441787
