datetime,description,location,direction,lat,lon
06/01/2026 06:43:00,1179-Trfc Collision-1141 Enrt,0 I80 W,W,39.329377,-120.294068
06/01/2026 06:47:00,1125-Traffic Hazard,I80 E / Kingvale Ofr,E,39.313691,-120.448574
06/01/2026 12:06:00,1125-Traffic Hazard,I80 W / Emigrant Gap Rd Ofr,W,39.303314,-120.657263
06/01/2026 16:25:00,1125-Traffic Hazard,I80 W / Eagle Lakes Rd Onr,W,39.324144,-120.564675
06/01/2026 22:24:00,1125-Traffic Hazard,I80 W / YUBA GAP OFR,W,39.319139,-120.61021
06/01/2026 22:29:00,1125-Traffic Hazard,I80 E / CRYSTAL SPRINGS OFR,E,39.207861,-120.788747
