datetime,description,location,direction,lat,lon
08/18/2026 07:04:00,1179-Trfc Collision-1141 Enrt,I80 E / Donner Lake Ofr,E,39.329487,-120.292543
08/18/2026 13:29:00,1183-Trfc Collision-Unkn Inj,I80 W / Sr20 Ofr,W,39.325944,-120.600658
08/18/2026 15:17:00,1182-Trfc Collision-No Inj,0 I80 E,E,39.225182,-120.766791
08/18/2026 16:38:00,DOT-Request CalTrans Notify,I80 W / Cisco Rd Onr,W,39.311305,-120.546189
08/18/2026 17:53:00,1125-Traffic Hazard,I80 W / Hirschdale Rd Ofr,W,39.384125,-120.083474
