datetime,description,location,direction,lat,lon
02/09/2026 05:01:00,1125-Traffic Hazard,I80 E / Baxter Rd Onr,E,39.216333,-120.775219
02/09/2026 07:11:00,CZP-Assist with Construction,I80 W / Floriston Way Onr,W,39.390657,-120.025135
02/09/2026 11:31:00,1125-Traffic Hazard,I80 W / Cisco Grove Ofr,W,39.308485,-120.54154
02/09/2026 11:43:00,1125A-Animal Hazard,I80 W / Hirschdale Rd Onr,W,39.379772,-120.099487
02/09/2026 14:10:00,1183-Trfc Collision-Unkn Inj,I80 E / Donner Rest Area Onr,E,39.342516,-120.336435
02/09/2026 23:40:00,1125-Traffic Hazard,I80 W / Castle Peak Rd Ofr,W,39.34032,-120.346445
