datetime,description,location,direction,lat,lon
02/05/2026 05:42:00,CZP-Assist with Construction,I80 W / Crystal Springs Onr,W,39.207975,-120.788814
02/05/2026 05:54:00,MZP-Assist CT with Maintenance,I80 E / Kingvale Ofr,E,39.313691,-120.448574
02/05/2026 07:06:00,MZP-Assist CT with Maintenance,I80 W / Farad Rd Ofr,W,39.423046,-120.035705
02/05/2026 07:47:00,1183-Trfc Collision-Unkn Inj,I80 E / Donner Pass Rd Ofr,E,39.323717,-120.221912
02/05/2026 12:35:00,CFIRE-Car Fire,I80 W / Baxter Rd Ofr,W,39.216667,-120.775205
