datetime,description,location,direction,lat,lon
03/31/2026 02:41:00,1125-Traffic Hazard,I80 W / Yuba Gap Onr,W,39.315897,-120.617105
03/31/2026 03:25:00,1125-Traffic Hazard,I80 W / Hirschdale Rd Onr,W,39.383787,-120.088697
03/31/2026 06:59:00,MZP-Assist CT with Maintenance,I80 E / Floriston Way Ofr,E,39.395083,-120.024364
03/31/2026 13:12:00,1125-Traffic Hazard,I80 W / Cisco Grove Ofr,W,39.308485,-120.54154
03/31/2026 13:35:00,1182-Trfc Collision-No Inj,0 I80 W,W,39.260795,-120.731221
03/31/2026 15:42:00,1179-Trfc Collision-1141 Enrt,0 I80 W,W,39.328635,-120.369131
03/31/2026 16:55:00,1183-Trfc Collision-Unkn Inj,I80 E / Hirschdale Rd Ofr,E,39.383469,-120.089576
03/31/2026 16:53:00,1179-Trfc Collision-1141 Enrt,I80 E / Central Truckee Ofr,E,39.323946,-120.19714
03/31/2026 19:27:00,SPINOUT,I80 W / Donner Lake Ofr,W,39.33112,-120.286115
03/31/2026 19:34:00,1125-Traffic Hazard,I80 W / DONNER LAKE OFR,W,39.33112,-120.286115
03/31/2026 20:03:00,SPINOUT,60 I80 E,E,39.34143,-120.317472
03/31/2026 20:00:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
03/31/2026 19:59:00,1125-Traffic Hazard,Soda Springs Onr / I80 E,E,39.326575,-120.389587
03/31/2026 20:33:00,1013-Road/Weather Conditions,I80 E / Eagle Lakes Rd Onr,E,39.318729,-120.562119
03/31/2026 21:23:00,1125-Traffic Hazard,I80 E / I80 E Castle Peak Rd Ofr,E,39.337992,-120.349001
03/31/2026 21:19:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
03/31/2026 21:25:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
03/31/2026 22:27:00,1182-Trfc Collision-No Inj,I80 E / Cisco Grove Ofr,E,39.311303,-120.546982
