datetime,description,location,direction,lat,lon
09/24/2026 00:37:00,1125-Traffic Hazard,I80 W / Overland Trail Ofr,W,39.357097,-120.144019
09/24/2026 02:03:00,1125-Traffic Hazard,I80 W / Yuba Gap Ofr,W,39.319139,-120.61021
09/24/2026 05:34:00,MZP-Assist CT with Maintenance,I80 E / Kingvale Ofr,E,39.313691,-120.448574
09/24/2026 14:01:00,1125-Traffic Hazard,I80 W / Hirschdale Rd Ofr,W,39.384125,-120.083474
09/24/2026 16:20:00,1125-Traffic Hazard,I80 W / Floriston Way Ofr,W,39.394812,-120.025178
09/24/2026 16:38:00,1183-Trfc Collision-Unkn Inj,0 I80 W,W,39.439487,-120.019717
09/24/2026 19:19:00,CZP-Assist with Construction,I80 E / Sr20 Ofr,E,39.325188,-120.601347
09/24/2026 19:44:00,1125-Traffic Hazard,I80 E / KINGVALE ONR,E,39.314926,-120.441638
09/24/2026 20:59:00,1125-Traffic Hazard,I80 W / Sr20 Ofr,W,39.325944,-120.600658
09/24/2026 23:48:00,1125-Traffic Hazard,0 I80 E,E,39.317478,-120.431605
