datetime,description,location,direction,lat,lon
04/10/2026 06:12:00,1183-Trfc Collision-Unkn Inj,I80 W / Hirschdale Rd Onr,W,39.383787,-120.088697
04/10/2026 07:57:00,SPINOUT,I80 E / Kingvale Onr,E,39.314926,-120.441638
04/10/2026 10:01:00,1183-Trfc Collision-Unkn Inj,I80 E / DRUM FOREBAY RD OFR,E,39.234983,-120.754256
04/10/2026 12:59:00,1183-Trfc Collision-Unkn Inj,0 I80 W,W,39.338416,-120.351586
04/10/2026 13:01:00,SPINOUT,I80 W / Donner Rest Area Ofr,W,39.343018,-120.337091
04/10/2026 15:06:00,1179-Trfc Collision-1141 Enrt,I80 E / Castle Peak Rd Ofr,E,39.336981,-120.352703
04/10/2026 15:31:00,SPINOUT,0 I80 E,E,39.33007,-120.365126
04/10/2026 18:44:00,SPINOUT,I80 W / Castle Peak Rd Ofr,W,39.34032,-120.346445
04/10/2026 20:05:00,1125-Traffic Hazard,I80 E / Farad Rd Ofr,E,39.420738,-120.03343
