datetime,description,location,direction,lat,lon
02/17/2026 06:04:00,1125-Traffic Hazard,I80 E / Emigrant Gap Rd Onr,E,39.303087,-120.656688
02/17/2026 07:15:00,1125-Traffic Hazard,0 I80 W,W,39.339072,-120.308376
02/17/2026 07:17:00,SPINOUT,0 I80 W,W,39.311101,-120.633006
02/17/2026 07:49:00,1125-Traffic Hazard,I80 E / Blue Canyon Rd Onr,E,39.285024,-120.700769
02/17/2026 07:54:00,SPINOUT,I80 W / Scales,W,39.36185,-120.131176
02/17/2026 08:01:00,1183-Trfc Collision-Unkn Inj,I80 E / Castle Peak Rd Ofr,E,39.336981,-120.352703
02/17/2026 08:10:00,1125-Traffic Hazard,I80 E / Cisco Grove Ofr,E,39.311303,-120.546982
02/17/2026 08:16:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
02/17/2026 08:27:00,1125-Traffic Hazard,I80 E / Soda Springs Ofr,E,39.32409,-120.395365
02/17/2026 08:33:00,1125-Traffic Hazard,I80 W / Sr20 Ofr,W,39.325944,-120.600658
02/17/2026 09:18:00,1183-Trfc Collision-Unkn Inj,0 I80 E,E,39.315106,-120.458013
02/17/2026 10:27:00,1125-Traffic Hazard,I80 E / Castle Peak Rd Ofr,E,39.336981,-120.352703
02/17/2026 11:03:00,1125-Traffic Hazard,I80 W / Soda Springs Ofr,W,39.326984,-120.39026
02/17/2026 11:46:00,1125-Traffic Hazard,I80 E / Baxter Rd Ofr,E,39.212758,-120.779991
02/17/2026 11:44:00,1125-Traffic Hazard,I80 E / Baxter Rd Onr,E,39.216333,-120.775219
02/17/2026 12:34:00,1125-Traffic Hazard,I80 E / Baxter Rd Onr,E,39.216333,-120.775219
02/17/2026 12:53:00,1125-Traffic Hazard,I80 E / Baxter Rd Onr,E,39.216333,-120.775219
02/17/2026 12:59:00,1125-Traffic Hazard,Blue Canyon Rd Onr / I80 E,E,39.285024,-120.700769
02/17/2026 13:30:00,1125-Traffic Hazard,I80 W / Floriston Way Onr,W,39.390657,-120.025135
02/17/2026 14:23:00,SPINOUT,I80 E / Donner Lake Ofr,E,39.329487,-120.292543
02/17/2026 14:24:00,1125-Traffic Hazard,I80 E / Emigrant Gap Rd Ofr,E,39.301112,-120.664435
02/17/2026 14:26:00,1125-Traffic Hazard,I80 E / Sr89 S Ofr,E,39.323018,-120.21095
02/17/2026 14:36:00,1125-Traffic Hazard,I80 E / Alta Onr,E,39.202659,-120.808916
02/17/2026 17:11:00,1125-Traffic Hazard,I80 W / Hirschdale Rd Onr,W,39.379772,-120.099487
02/17/2026 17:30:00,SNOW Information,I80 E / Kingvale Ofr,E,39.313691,-120.448574
02/17/2026 18:07:00,1125-Traffic Hazard,I80 W / Baxter Rd Ofr,W,39.216667,-120.775205
