date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-08-21,3023111,E,ML,00,195,67.4
2026-08-21,3023111,E,ML,01,171,67.7
2026-08-21,3023111,E,ML,02,176,68.3
2026-08-21,3023111,E,ML,03,147,67.4
2026-08-21,3023111,E,ML,04,208,67.5
2026-08-21,3023111,E,ML,05,321,65.4
2026-08-21,3023111,E,ML,06,508,64.9
2026-08-21,3023111,E,ML,07,658,66.8
2026-08-21,3023111,E,ML,08,764,65.5
2026-08-21,3023111,E,ML,09,907,66.4
2026-08-21,3023111,E,ML,10,887,66.1
2026-08-21,3023111,E,ML,11,1158,63.9
2026-08-21,3023111,E,ML,12,1169,64.3
2026-08-21,3023111,E,ML,13,1332,63.9
2026-08-21,3023111,E,ML,14,1535,61.4
2026-08-21,3023111,E,ML,15,1568,62.0
2026-08-21,3023111,E,ML,16,1350,64.5
2026-08-21,3023111,E,ML,17,1203,67.0
2026-08-21,3023111,E,ML,18,1137,69.1
2026-08-21,3023111,E,ML,19,1029,67.1
2026-08-21,3023111,E,ML,20,853,65.7
2026-08-21,3023111,E,ML,21,715,66.1
2026-08-21,3023111,E,ML,22,623,66.3
2026-08-21,3023111,E,ML,23,413,66.6
2026-08-21,3023113,E,FR,00,30,
2026-08-21,3023113,E,FR,01,10,
2026-08-21,3023113,E,FR,02,5,
2026-08-21,3023113,E,FR,03,9,
2026-08-21,3023113,E,FR,04,15,
2026-08-21,3023113,E,FR,05,57,
2026-08-21,3023113,E,FR,06,114,
2026-08-21,3023113,E,FR,07,136,
2026-08-21,3023113,E,FR,08,214,
2026-08-21,3023113,E,FR,09,221,
2026-08-21,3023113,E,FR,10,281,
2026-08-21,3023113,E,FR,11,303,
2026-08-21,3023113,E,FR,12,320,
2026-08-21,3023113,E,FR,13,336,
2026-08-21,3023113,E,FR,14,369,
2026-08-21,3023113,E,FR,15,397,
2026-08-21,3023113,E,FR,16,346,
2026-08-21,3023113,E,FR,17,358,
2026-08-21,3023113,E,FR,18,271,
2026-08-21,3023113,E,FR,19,255,
2026-08-21,3023113,E,FR,20,160,
2026-08-21,3023113,E,FR,21,187,
2026-08-21,3023113,E,FR,22,128,
2026-08-21,3023113,E,FR,23,83,
2026-08-21,3023115,E,OR,00,38,
2026-08-21,3023115,E,OR,01,9,
2026-08-21,3023115,E,OR,02,12,
2026-08-21,3023115,E,OR,03,9,
2026-08-21,3023115,E,OR,04,13,
2026-08-21,3023115,E,OR,05,40,
2026-08-21,3023115,E,OR,06,131,
2026-08-21,3023115,E,OR,07,246,
2026-08-21,3023115,E,OR,08,319,
2026-08-21,3023115,E,OR,09,389,
2026-08-21,3023115,E,OR,10,454,
2026-08-21,3023115,E,OR,11,512,
2026-08-21,3023115,E,OR,12,577,
2026-08-21,3023115,E,OR,13,542,
2026-08-21,3023115,E,OR,14,630,
2026-08-21,3023115,E,OR,15,755,
2026-08-21,3023115,E,OR,16,796,
2026-08-21,3023115,E,OR,17,717,
2026-08-21,3023115,E,OR,18,536,
2026-08-21,3023115,E,OR,19,383,
2026-08-21,3023115,E,OR,20,263,
2026-08-21,3023115,E,OR,21,164,
2026-08-21,3023115,E,OR,22,125,
2026-08-21,3023115,E,OR,23,68,
2026-08-21,3023116,W,FR,00,28,
2026-08-21,3023116,W,FR,01,17,
2026-08-21,3023116,W,FR,02,8,
2026-08-21,3023116,W,FR,03,13,
2026-08-21,3023116,W,FR,04,20,
2026-08-21,3023116,W,FR,05,87,
2026-08-21,3023116,W,FR,06,254,
2026-08-21,3023116,W,FR,07,302,
2026-08-21,3023116,W,FR,08,282,
2026-08-21,3023116,W,FR,09,296,
2026-08-21,3023116,W,FR,10,267,
2026-08-21,3023116,W,FR,11,387,
2026-08-21,3023116,W,FR,12,494,
2026-08-21,3023116,W,FR,13,310,
2026-08-21,3023116,W,FR,14,239,
2026-08-21,3023116,W,FR,15,317,
2026-08-21,3023116,W,FR,16,304,
2026-08-21,3023116,W,FR,17,260,
2026-08-21,3023116,W,FR,18,244,
2026-08-21,3023116,W,FR,19,235,
2026-08-21,3023116,W,FR,20,200,
2026-08-21,3023116,W,FR,21,117,
2026-08-21,3023116,W,FR,22,69,
2026-08-21,3023116,W,FR,23,55,
2026-08-21,3023121,W,ML,00,499,57.3
2026-08-21,3023121,W,ML,01,311,56.6
2026-08-21,3023121,W,ML,02,301,60.0
2026-08-21,3023121,W,ML,03,315,58.4
2026-08-21,3023121,W,ML,04,400,57.9
2026-08-21,3023121,W,ML,05,550,57.0
2026-08-21,3023121,W,ML,06,1061,59.3
2026-08-21,3023121,W,ML,07,1402,60.2
2026-08-21,3023121,W,ML,08,1829,61.0
2026-08-21,3023121,W,ML,09,2040,57.2
2026-08-21,3023121,W,ML,10,2295,57.9
2026-08-21,3023121,W,ML,11,2412,58.7
