date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-08-11,3023111,E,ML,00,204,66.5
2026-08-11,3023111,E,ML,01,169,67.1
2026-08-11,3023111,E,ML,02,148,67.8
2026-08-11,3023111,E,ML,03,158,68.0
2026-08-11,3023111,E,ML,04,202,67.4
2026-08-11,3023111,E,ML,05,324,67.6
2026-08-11,3023111,E,ML,06,591,66.6
2026-08-11,3023111,E,ML,07,665,62.7
2026-08-11,3023111,E,ML,08,824,64.4
2026-08-11,3023111,E,ML,09,779,65.4
2026-08-11,3023111,E,ML,10,765,65.4
2026-08-11,3023111,E,ML,11,833,66.6
2026-08-11,3023111,E,ML,12,914,65.8
2026-08-11,3023111,E,ML,13,917,65.8
2026-08-11,3023111,E,ML,14,994,66.7
2026-08-11,3023111,E,ML,15,1038,64.2
2026-08-11,3023111,E,ML,16,1019,65.9
2026-08-11,3023111,E,ML,17,847,62.7
2026-08-11,3023111,E,ML,18,670,67.8
2026-08-11,3023111,E,ML,19,651,67.4
2026-08-11,3023111,E,ML,20,467,65.3
2026-08-11,3023111,E,ML,21,402,65.9
2026-08-11,3023111,E,ML,22,348,66.7
2026-08-11,3023111,E,ML,23,268,67.7
2026-08-11,3023113,E,FR,00,11,
2026-08-11,3023113,E,FR,01,2,
2026-08-11,3023113,E,FR,02,4,
2026-08-11,3023113,E,FR,03,7,
2026-08-11,3023113,E,FR,04,15,
2026-08-11,3023113,E,FR,05,44,
2026-08-11,3023113,E,FR,06,111,
2026-08-11,3023113,E,FR,07,151,
2026-08-11,3023113,E,FR,08,177,
2026-08-11,3023113,E,FR,09,191,
2026-08-11,3023113,E,FR,10,189,
2026-08-11,3023113,E,FR,11,218,
2026-08-11,3023113,E,FR,12,234,
2026-08-11,3023113,E,FR,13,197,
2026-08-11,3023113,E,FR,14,208,
2026-08-11,3023113,E,FR,15,198,
2026-08-11,3023113,E,FR,16,199,
2026-08-11,3023113,E,FR,17,190,
2026-08-11,3023113,E,FR,18,132,
2026-08-11,3023113,E,FR,19,120,
2026-08-11,3023113,E,FR,20,86,
2026-08-11,3023113,E,FR,21,49,
2026-08-11,3023113,E,FR,22,38,
2026-08-11,3023113,E,FR,23,33,
2026-08-11,3023115,E,OR,00,25,
2026-08-11,3023115,E,OR,01,16,
2026-08-11,3023115,E,OR,02,7,
2026-08-11,3023115,E,OR,03,15,
2026-08-11,3023115,E,OR,04,27,
2026-08-11,3023115,E,OR,05,46,
2026-08-11,3023115,E,OR,06,126,
2026-08-11,3023115,E,OR,07,253,
2026-08-11,3023115,E,OR,08,334,
2026-08-11,3023115,E,OR,09,352,
2026-08-11,3023115,E,OR,10,410,
2026-08-11,3023115,E,OR,11,459,
2026-08-11,3023115,E,OR,12,517,
2026-08-11,3023115,E,OR,13,506,
2026-08-11,3023115,E,OR,14,549,
2026-08-11,3023115,E,OR,15,623,
2026-08-11,3023115,E,OR,16,810,
2026-08-11,3023115,E,OR,17,844,
2026-08-11,3023115,E,OR,18,482,
2026-08-11,3023115,E,OR,19,304,
2026-08-11,3023115,E,OR,20,260,
2026-08-11,3023115,E,OR,21,185,
2026-08-11,3023115,E,OR,22,80,
2026-08-11,3023115,E,OR,23,56,
2026-08-11,3023116,W,FR,00,20,
2026-08-11,3023116,W,FR,01,23,
2026-08-11,3023116,W,FR,02,7,
2026-08-11,3023116,W,FR,03,23,
2026-08-11,3023116,W,FR,04,33,
2026-08-11,3023116,W,FR,05,85,
2026-08-11,3023116,W,FR,06,287,
2026-08-11,3023116,W,FR,07,471,
2026-08-11,3023116,W,FR,08,398,
2026-08-11,3023116,W,FR,09,307,
2026-08-11,3023116,W,FR,10,341,
2026-08-11,3023116,W,FR,11,284,
2026-08-11,3023116,W,FR,12,294,
2026-08-11,3023116,W,FR,13,270,
2026-08-11,3023116,W,FR,14,277,
2026-08-11,3023116,W,FR,15,255,
2026-08-11,3023116,W,FR,16,280,
2026-08-11,3023116,W,FR,17,255,
2026-08-11,3023116,W,FR,18,197,
2026-08-11,3023116,W,FR,19,143,
2026-08-11,3023116,W,FR,20,98,
2026-08-11,3023116,W,FR,21,68,
2026-08-11,3023116,W,FR,22,53,
2026-08-11,3023116,W,FR,23,28,
2026-08-11,3023121,W,ML,00,341,59.2
2026-08-11,3023121,W,ML,01,344,59.8
2026-08-11,3023121,W,ML,02,302,60.1
2026-08-11,3023121,W,ML,03,309,59.1
2026-08-11,3023121,W,ML,04,387,59.6
2026-08-11,3023121,W,ML,05,614,62.3
2026-08-11,3023121,W,ML,06,909,64.1
2026-08-11,3023121,W,ML,07,1265,63.3
2026-08-11,3023121,W,ML,08,1657,66.7
2026-08-11,3023121,W,ML,09,1793,62.1
2026-08-11,3023121,W,ML,10,1911,62.9
2026-08-11,3023121,W,ML,11,1942,61.1
2026-08-11,3023121,W,ML,12,1944,60.8
2026-08-11,3023121,W,ML,13,1777,61.6
2026-08-11,3023121,W,ML,14,1901,62.9
2026-08-11,3023121,W,ML,15,1936,64.0
2026-08-11,3023121,W,ML,16,1910,63.2
2026-08-11,3023121,W,ML,17,1637,64.9
2026-08-11,3023121,W,ML,18,1271,64.3
2026-08-11,3023121,W,ML,19,1035,61.5
2026-08-11,3023121,W,ML,20,925,59.5
2026-08-11,3023121,W,ML,21,676,60.2
2026-08-11,3023121,W,ML,22,692,58.5
2026-08-11,3023121,W,ML,23,405,58.2
2026-08-11,3023124,W,ML,00,0,
2026-08-11,3023124,W,ML,01,0,
2026-08-11,3023124,W,ML,02,0,
2026-08-11,3023124,W,ML,03,0,
2026-08-11,3023124,W,ML,04,0,
2026-08-11,3023124,W,ML,05,0,
2026-08-11,3023124,W,ML,06,6,65.0
2026-08-11,3023124,W,ML,07,68,62.7
2026-08-11,3023124,W,ML,08,146,63.6
2026-08-11,3023124,W,ML,09,188,62.9
