date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-09-20,3023111,E,ML,00,213,67.9
2026-09-20,3023111,E,ML,01,161,67.4
2026-09-20,3023111,E,ML,02,98,68.3
2026-09-20,3023111,E,ML,03,80,66.9
2026-09-20,3023111,E,ML,04,99,67.4
2026-09-20,3023111,E,ML,05,114,67.9
2026-09-20,3023111,E,ML,06,197,68.1
2026-09-20,3023111,E,ML,07,283,68.9
2026-09-20,3023111,E,ML,08,510,67.1
2026-09-20,3023111,E,ML,09,671,67.4
2026-09-20,3023111,E,ML,10,759,65.5
2026-09-20,3023111,E,ML,11,972,64.7
2026-09-20,3023111,E,ML,12,1133,67.7
2026-09-20,3023111,E,ML,13,1117,65.7
2026-09-20,3023111,E,ML,14,1249,65.9
2026-09-20,3023111,E,ML,15,1232,65.7
2026-09-20,3023111,E,ML,16,1181,68.5
2026-09-20,3023111,E,ML,17,1142,67.2
2026-09-20,3023111,E,ML,18,991,66.7
2026-09-20,3023111,E,ML,19,861,65.2
2026-09-20,3023111,E,ML,20,663,68.4
2026-09-20,3023111,E,ML,21,533,66.3
2026-09-20,3023111,E,ML,22,390,66.6
2026-09-20,3023111,E,ML,23,300,67.0
2026-09-20,3023113,E,FR,00,14,
2026-09-20,3023113,E,FR,01,11,
2026-09-20,3023113,E,FR,02,4,
2026-09-20,3023113,E,FR,03,3,
2026-09-20,3023113,E,FR,04,6,
2026-09-20,3023113,E,FR,05,11,
2026-09-20,3023113,E,FR,06,24,
2026-09-20,3023113,E,FR,07,53,
2026-09-20,3023113,E,FR,08,96,
2026-09-20,3023113,E,FR,09,110,
2026-09-20,3023113,E,FR,10,152,
2026-09-20,3023113,E,FR,11,162,
2026-09-20,3023113,E,FR,12,171,
2026-09-20,3023113,E,FR,13,205,
2026-09-20,3023113,E,FR,14,149,
2026-09-20,3023113,E,FR,15,164,
2026-09-20,3023113,E,FR,16,161,
2026-09-20,3023113,E,FR,17,132,
2026-09-20,3023113,E,FR,18,105,
2026-09-20,3023113,E,FR,19,72,
2026-09-20,3023113,E,FR,20,62,
2026-09-20,3023113,E,FR,21,7,
2026-09-20,3023113,E,FR,22,0,
2026-09-20,3023113,E,FR,23,0,
2026-09-20,3023115,E,OR,00,31,
2026-09-20,3023115,E,OR,01,15,
2026-09-20,3023115,E,OR,02,9,
2026-09-20,3023115,E,OR,03,13,
2026-09-20,3023115,E,OR,04,19,
2026-09-20,3023115,E,OR,05,25,
2026-09-20,3023115,E,OR,06,75,
2026-09-20,3023115,E,OR,07,128,
2026-09-20,3023115,E,OR,08,190,
2026-09-20,3023115,E,OR,09,222,
2026-09-20,3023115,E,OR,10,327,
2026-09-20,3023115,E,OR,11,378,
2026-09-20,3023115,E,OR,12,349,
2026-09-20,3023115,E,OR,13,392,
2026-09-20,3023115,E,OR,14,387,
2026-09-20,3023115,E,OR,15,396,
2026-09-20,3023115,E,OR,16,389,
2026-09-20,3023115,E,OR,17,333,
2026-09-20,3023115,E,OR,18,295,
2026-09-20,3023115,E,OR,19,191,
2026-09-20,3023115,E,OR,20,133,
2026-09-20,3023115,E,OR,21,0,
2026-09-20,3023115,E,OR,22,0,
2026-09-20,3023115,E,OR,23,1,
2026-09-20,3023116,W,FR,00,18,
2026-09-20,3023116,W,FR,01,8,
2026-09-20,3023116,W,FR,02,7,
