date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-08-26,3023111,E,ML,00,197,68.2
2026-08-26,3023111,E,ML,01,152,67.3
2026-08-26,3023111,E,ML,02,155,68.4
2026-08-26,3023111,E,ML,03,169,67.9
2026-08-26,3023111,E,ML,04,186,68.6
2026-08-26,3023111,E,ML,05,335,67.7
2026-08-26,3023111,E,ML,06,512,66.9
2026-08-26,3023111,E,ML,07,649,68.8
2026-08-26,3023111,E,ML,08,622,65.6
2026-08-26,3023111,E,ML,09,744,67.0
2026-08-26,3023111,E,ML,10,725,61.8
2026-08-26,3023111,E,ML,11,648,61.6
2026-08-26,3023111,E,ML,12,604,64.2
2026-08-26,3023111,E,ML,13,783,62.9
2026-08-26,3023111,E,ML,14,677,63.8
2026-08-26,3023111,E,ML,15,729,63.9
2026-08-26,3023111,E,ML,16,890,60.2
2026-08-26,3023111,E,ML,17,937,62.4
2026-08-26,3023111,E,ML,18,640,65.9
2026-08-26,3023111,E,ML,19,645,64.1
2026-08-26,3023111,E,ML,20,504,62.6
2026-08-26,3023111,E,ML,21,386,66.4
2026-08-26,3023111,E,ML,22,386,67.4
2026-08-26,3023111,E,ML,23,260,64.8
2026-08-26,3023113,E,FR,00,9,
2026-08-26,3023113,E,FR,01,8,
2026-08-26,3023113,E,FR,02,1,
2026-08-26,3023113,E,FR,03,7,
2026-08-26,3023113,E,FR,04,14,
2026-08-26,3023113,E,FR,05,52,
2026-08-26,3023113,E,FR,06,104,
2026-08-26,3023113,E,FR,07,147,
2026-08-26,3023113,E,FR,08,218,
2026-08-26,3023113,E,FR,09,196,
2026-08-26,3023113,E,FR,10,150,
2026-08-26,3023113,E,FR,11,148,
2026-08-26,3023113,E,FR,12,104,
2026-08-26,3023113,E,FR,13,124,
2026-08-26,3023113,E,FR,14,144,
2026-08-26,3023113,E,FR,15,184,
2026-08-26,3023113,E,FR,16,158,
2026-08-26,3023113,E,FR,17,167,
2026-08-26,3023113,E,FR,18,89,
2026-08-26,3023113,E,FR,19,96,
2026-08-26,3023113,E,FR,20,58,
2026-08-26,3023113,E,FR,21,73,
2026-08-26,3023113,E,FR,22,46,
2026-08-26,3023113,E,FR,23,40,
2026-08-26,3023115,E,OR,00,35,
2026-08-26,3023115,E,OR,01,20,
2026-08-26,3023115,E,OR,02,16,
2026-08-26,3023115,E,OR,03,13,
2026-08-26,3023115,E,OR,04,16,
2026-08-26,3023115,E,OR,05,49,
2026-08-26,3023115,E,OR,06,162,
2026-08-26,3023115,E,OR,07,387,
2026-08-26,3023115,E,OR,08,313,
2026-08-26,3023115,E,OR,09,399,
2026-08-26,3023115,E,OR,10,346,
2026-08-26,3023115,E,OR,11,510,
2026-08-26,3023115,E,OR,12,561,
2026-08-26,3023115,E,OR,13,521,
2026-08-26,3023115,E,OR,14,680,
2026-08-26,3023115,E,OR,15,802,
2026-08-26,3023115,E,OR,16,915,
2026-08-26,3023115,E,OR,17,812,
2026-08-26,3023115,E,OR,18,444,
2026-08-26,3023115,E,OR,19,308,
2026-08-26,3023115,E,OR,20,226,
2026-08-26,3023115,E,OR,21,136,
2026-08-26,3023115,E,OR,22,82,
2026-08-26,3023115,E,OR,23,64,
2026-08-26,3023116,W,FR,00,30,
2026-08-26,3023116,W,FR,01,11,
2026-08-26,3023116,W,FR,02,39,
2026-08-26,3023116,W,FR,03,19,
2026-08-26,3023116,W,FR,04,23,
2026-08-26,3023116,W,FR,05,89,
2026-08-26,3023116,W,FR,06,284,
2026-08-26,3023116,W,FR,07,306,
2026-08-26,3023116,W,FR,08,295,
2026-08-26,3023116,W,FR,09,257,
2026-08-26,3023116,W,FR,10,383,
2026-08-26,3023116,W,FR,11,528,
2026-08-26,3023116,W,FR,12,359,
