date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-08-12,3023111,E,ML,00,206,67.9
2026-08-12,3023111,E,ML,01,170,66.8
2026-08-12,3023111,E,ML,02,172,67.2
2026-08-12,3023111,E,ML,03,154,67.9
2026-08-12,3023111,E,ML,04,200,68.2
2026-08-12,3023111,E,ML,05,340,64.5
2026-08-12,3023111,E,ML,06,523,66.8
2026-08-12,3023111,E,ML,07,703,66.6
2026-08-12,3023111,E,ML,08,769,67.3
2026-08-12,3023111,E,ML,09,710,68.3
2026-08-12,3023111,E,ML,10,719,67.0
2026-08-12,3023111,E,ML,11,817,67.9
2026-08-12,3023111,E,ML,12,943,66.0
2026-08-12,3023111,E,ML,13,972,66.7
2026-08-12,3023111,E,ML,14,1049,69.0
2026-08-12,3023111,E,ML,15,1146,69.5
2026-08-12,3023111,E,ML,16,996,68.2
2026-08-12,3023111,E,ML,17,788,68.3
2026-08-12,3023111,E,ML,18,615,69.2
2026-08-12,3023111,E,ML,19,593,65.2
2026-08-12,3023111,E,ML,20,468,65.3
2026-08-12,3023111,E,ML,21,377,65.6
2026-08-12,3023111,E,ML,22,324,66.3
2026-08-12,3023111,E,ML,23,301,67.5
2026-08-12,3023113,E,FR,00,14,
2026-08-12,3023113,E,FR,01,9,
2026-08-12,3023113,E,FR,02,7,
2026-08-12,3023113,E,FR,03,7,
2026-08-12,3023113,E,FR,04,4,
2026-08-12,3023113,E,FR,05,82,
2026-08-12,3023113,E,FR,06,108,
2026-08-12,3023113,E,FR,07,157,
2026-08-12,3023113,E,FR,08,181,
2026-08-12,3023113,E,FR,09,168,
2026-08-12,3023113,E,FR,10,209,
2026-08-12,3023113,E,FR,11,230,
2026-08-12,3023113,E,FR,12,238,
2026-08-12,3023113,E,FR,13,204,
2026-08-12,3023113,E,FR,14,270,
2026-08-12,3023113,E,FR,15,213,
2026-08-12,3023113,E,FR,16,234,
2026-08-12,3023113,E,FR,17,208,
2026-08-12,3023113,E,FR,18,135,
2026-08-12,3023113,E,FR,19,85,
2026-08-12,3023113,E,FR,20,82,
2026-08-12,3023113,E,FR,21,60,
2026-08-12,3023113,E,FR,22,52,
2026-08-12,3023113,E,FR,23,40,
2026-08-12,3023115,E,OR,00,31,
2026-08-12,3023115,E,OR,01,16,
2026-08-12,3023115,E,OR,02,9,
2026-08-12,3023115,E,OR,03,17,
2026-08-12,3023115,E,OR,04,17,
2026-08-12,3023115,E,OR,05,56,
2026-08-12,3023115,E,OR,06,146,
2026-08-12,3023115,E,OR,07,209,
2026-08-12,3023115,E,OR,08,275,
2026-08-12,3023115,E,OR,09,321,
2026-08-12,3023115,E,OR,10,451,
2026-08-12,3023115,E,OR,11,453,
2026-08-12,3023115,E,OR,12,495,
2026-08-12,3023115,E,OR,13,490,
2026-08-12,3023115,E,OR,14,591,
2026-08-12,3023115,E,OR,15,657,
2026-08-12,3023115,E,OR,16,831,
2026-08-12,3023115,E,OR,17,859,
2026-08-12,3023115,E,OR,18,460,
2026-08-12,3023115,E,OR,19,285,
2026-08-12,3023115,E,OR,20,232,
2026-08-12,3023115,E,OR,21,146,
2026-08-12,3023115,E,OR,22,82,
2026-08-12,3023115,E,OR,23,68,
2026-08-12,3023116,W,FR,00,15,
2026-08-12,3023116,W,FR,01,18,
2026-08-12,3023116,W,FR,02,12,
2026-08-12,3023116,W,FR,03,16,
2026-08-12,3023116,W,FR,04,18,
2026-08-12,3023116,W,FR,05,68,
2026-08-12,3023116,W,FR,06,273,
2026-08-12,3023116,W,FR,07,278,
2026-08-12,3023116,W,FR,08,268,
2026-08-12,3023116,W,FR,09,270,
2026-08-12,3023116,W,FR,10,259,
2026-08-12,3023116,W,FR,11,309,
2026-08-12,3023116,W,FR,12,327,
2026-08-12,3023116,W,FR,13,310,
2026-08-12,3023116,W,FR,14,327,
2026-08-12,3023116,W,FR,15,354,
2026-08-12,3023116,W,FR,16,322,
2026-08-12,3023116,W,FR,17,284,
2026-08-12,3023116,W,FR,18,193,
2026-08-12,3023116,W,FR,19,151,
2026-08-12,3023116,W,FR,20,134,
2026-08-12,3023116,W,FR,21,93,
2026-08-12,3023116,W,FR,22,43,
2026-08-12,3023116,W,FR,23,34,
2026-08-12,3023121,W,ML,00,346,57.2
2026-08-12,3023121,W,ML,01,319,55.0
2026-08-12,3023121,W,ML,02,292,56.1
2026-08-12,3023121,W,ML,03,287,58.9
2026-08-12,3023121,W,ML,04,336,59.0
2026-08-12,3023121,W,ML,05,409,60.6
2026-08-12,3023121,W,ML,06,1033,62.7
2026-08-12,3023121,W,ML,07,1265,61.8
2026-08-12,3023121,W,ML,08,1613,60.2
2026-08-12,3023121,W,ML,09,1691,58.3
2026-08-12,3023121,W,ML,10,1846,57.9
2026-08-12,3023121,W,ML,11,1824,57.8
2026-08-12,3023121,W,ML,12,2100,57.6
2026-08-12,3023121,W,ML,13,1872,58.3
2026-08-12,3023121,W,ML,14,1705,60.4
2026-08-12,3023121,W,ML,15,1788,63.8
2026-08-12,3023121,W,ML,16,1802,63.9
2026-08-12,3023121,W,ML,17,1635,65.4
2026-08-12,3023121,W,ML,18,1423,61.8
2026-08-12,3023121,W,ML,19,1199,58.2
2026-08-12,3023121,W,ML,20,1106,58.2
2026-08-12,3023121,W,ML,21,813,65.8
2026-08-12,3023121,W,ML,22,653,63.8
2026-08-12,3023121,W,ML,23,586,57.4
2026-08-12,3023124,W,ML,00,1,64.9
2026-08-12,3023124,W,ML,01,1,64.8
2026-08-12,3023124,W,ML,02,0,
2026-08-12,3023124,W,ML,03,0,
2026-08-12,3023124,W,ML,04,0,
2026-08-12,3023124,W,ML,05,1,64.6
2026-08-12,3023124,W,ML,06,13,64.7
2026-08-12,3023124,W,ML,07,62,64.4
2026-08-12,3023124,W,ML,08,150,61.0
2026-08-12,3023124,W,ML,09,159,63.5
2026-08-12,3023124,W,ML,10,220,65.7
2026-08-12,3023124,W,ML,11,230,64.9
2026-08-12,3023124,W,ML,12,241,62.6
2026-08-12,3023124,W,ML,13,236,64.6
2026-08-12,3023124,W,ML,14,245,66.0
2026-08-12,3023124,W,ML,15,241,64.5
2026-08-12,3023124,W,ML,16,239,62.4
2026-08-12,3023124,W,ML,17,208,64.3
2026-08-12,3023124,W,ML,18,142,64.9
2026-08-12,3023124,W,ML,19,77,64.7
2026-08-12,3023124,W,ML,20,53,65.2
2026-08-12,3023124,W,ML,21,8,65.1
2026-08-12,3023124,W,ML,22,3,64.9
2026-08-12,3023124,W,ML,23,0,
2026-08-12,3047111,E,ML,00,228,66.1
2026-08-12,3047111,E,ML,01,185,64.8
2026-08-12,3047111,E,ML,02,186,63.2
2026-08-12,3047111,E,ML,03,148,64.3
2026-08-12,3047111,E,ML,04,241,65.8
2026-08-12,3047111,E,ML,05,454,66.3
2026-08-12,3047111,E,ML,06,653,65.6
2026-08-12,3047111,E,ML,07,731,66.5
2026-08-12,3047111,E,ML,08,774,66.7
2026-08-12,3047111,E,ML,09,773,68.4
2026-08-12,3047111,E,ML,10,849,67.5
2026-08-12,3047111,E,ML,11,985,67.7
2026-08-12,3047111,E,ML,12,953,66.6
2026-08-12,3047111,E,ML,13,1002,71.0
2026-08-12,3047111,E,ML,14,1006,67.6
2026-08-12,3047111,E,ML,15,915,70.9
2026-08-12,3047111,E,ML,16,794,68.4
2026-08-12,3047111,E,ML,17,627,66.6
2026-08-12,3047111,E,ML,18,642,66.7
2026-08-12,3047111,E,ML,19,592,65.3
2026-08-12,3047111,E,ML,20,481,66.0
2026-08-12,3047111,E,ML,21,482,66.2
2026-08-12,3047111,E,ML,22,401,66.4
2026-08-12,3047111,E,ML,23,314,63.5
2026-08-12,3047112,E,OR,00,0,
2026-08-12,3047112,E,OR,01,1,
2026-08-12,3047112,E,OR,02,0,
2026-08-12,3047112,E,OR,03,0,
2026-08-12,3047112,E,OR,04,1,
2026-08-12,3047112,E,OR,05,3,
2026-08-12,3047112,E,OR,06,1,
2026-08-12,3047112,E,OR,07,6,
2026-08-12,3047112,E,OR,08,7,
2026-08-12,3047112,E,OR,09,8,
2026-08-12,3047112,E,OR,10,10,
2026-08-12,3047112,E,OR,11,5,
2026-08-12,3047112,E,OR,12,6,
2026-08-12,3047112,E,OR,13,6,
2026-08-12,3047112,E,OR,14,13,
2026-08-12,3047112,E,OR,15,3,
2026-08-12,3047112,E,OR,16,8,
2026-08-12,3047112,E,OR,17,6,
2026-08-12,3047112,E,OR,18,4,
2026-08-12,3047112,E,OR,19,5,
2026-08-12,3047112,E,OR,20,3,
2026-08-12,3047112,E,OR,21,1,
2026-08-12,3047112,E,OR,22,1,
2026-08-12,3047112,E,OR,23,8,
2026-08-12,3047113,E,FR,00,2,
2026-08-12,3047113,E,FR,01,0,
2026-08-12,3047113,E,FR,02,0,
2026-08-12,3047113,E,FR,03,1,
2026-08-12,3047113,E,FR,04,3,
2026-08-12,3047113,E,FR,05,10,
2026-08-12,3047113,E,FR,06,17,
2026-08-12,3047113,E,FR,07,5,
2026-08-12,3047113,E,FR,08,7,
2026-08-12,3047113,E,FR,09,21,
2026-08-12,3047113,E,FR,10,14,
2026-08-12,3047113,E,FR,11,12,
2026-08-12,3047113,E,FR,12,18,
2026-08-12,3047113,E,FR,13,17,
2026-08-12,3047113,E,FR,14,35,
2026-08-12,3047113,E,FR,15,20,
2026-08-12,3047113,E,FR,16,13,
2026-08-12,3047113,E,FR,17,15,
2026-08-12,3047113,E,FR,18,10,
2026-08-12,3047113,E,FR,19,4,
2026-08-12,3047113,E,FR,20,0,
2026-08-12,3047113,E,FR,21,3,
2026-08-12,3047113,E,FR,22,8,
2026-08-12,3047113,E,FR,23,2,
2026-08-12,3047121,W,ML,00,213,63.6
2026-08-12,3047121,W,ML,01,157,62.9
2026-08-12,3047121,W,ML,02,154,61.9
2026-08-12,3047121,W,ML,03,158,63.2
2026-08-12,3047121,W,ML,04,169,64.3
2026-08-12,3047121,W,ML,05,203,64.8
2026-08-12,3047121,W,ML,06,369,64.6
2026-08-12,3047121,W,ML,07,371,63.2
2026-08-12,3047121,W,ML,08,624,49.6
2026-08-12,3047121,W,ML,09,824,33.6
2026-08-12,3047121,W,ML,10,965,35.2
2026-08-12,3047121,W,ML,11,1107,36.6
2026-08-12,3047121,W,ML,12,1102,37.3
2026-08-12,3047121,W,ML,13,688,33.1
2026-08-12,3047121,W,ML,14,0,
2026-08-12,3047121,W,ML,15,0,
2026-08-12,3047121,W,ML,16,0,
2026-08-12,3047121,W,ML,17,0,
2026-08-12,3047121,W,ML,18,0,
2026-08-12,3047121,W,ML,19,0,
2026-08-12,3047121,W,ML,20,0,
2026-08-12,3047121,W,ML,21,0,
2026-08-12,3047121,W,ML,22,0,
2026-08-12,3047121,W,ML,23,0,
2026-08-12,3047122,W,OR,00,1,
2026-08-12,3047122,W,OR,01,0,
2026-08-12,3047122,W,OR,02,1,
2026-08-12,3047122,W,OR,03,2,
2026-08-12,3047122,W,OR,04,4,
2026-08-12,3047122,W,OR,05,9,
2026-08-12,3047122,W,OR,06,17,
2026-08-12,3047122,W,OR,07,7,
2026-08-12,3047122,W,OR,08,6,
2026-08-12,3047122,W,OR,09,15,
2026-08-12,3047122,W,OR,10,15,
2026-08-12,3047122,W,OR,11,11,
2026-08-12,3047122,W,OR,12,15,
2026-08-12,3047122,W,OR,13,19,
2026-08-12,3047122,W,OR,14,32,
2026-08-12,3047122,W,OR,15,21,
2026-08-12,3047122,W,OR,16,13,
2026-08-12,3047122,W,OR,17,14,
2026-08-12,3047122,W,OR,18,6,
2026-08-12,3047122,W,OR,19,1,
2026-08-12,3047122,W,OR,20,1,
2026-08-12,3047122,W,OR,21,2,
2026-08-12,3047122,W,OR,22,2,
2026-08-12,3047122,W,OR,23,1,
2026-08-12,3047123,W,FR,00,1,
2026-08-12,3047123,W,FR,01,0,
2026-08-12,3047123,W,FR,02,1,
2026-08-12,3047123,W,FR,03,1,
2026-08-12,3047123,W,FR,04,0,
2026-08-12,3047123,W,FR,05,0,
2026-08-12,3047123,W,FR,06,0,
2026-08-12,3047123,W,FR,07,4,
2026-08-12,3047123,W,FR,08,4,
2026-08-12,3047123,W,FR,09,6,
2026-08-12,3047123,W,FR,10,8,
2026-08-12,3047123,W,FR,11,6,
2026-08-12,3047123,W,FR,12,10,
2026-08-12,3047123,W,FR,13,9,
2026-08-12,3047123,W,FR,14,7,
2026-08-12,3047123,W,FR,15,4,
2026-08-12,3047123,W,FR,16,7,
2026-08-12,3047123,W,FR,17,2,
2026-08-12,3047123,W,FR,18,6,
2026-08-12,3047123,W,FR,19,0,
2026-08-12,3047123,W,FR,20,3,
2026-08-12,3047123,W,FR,21,0,
2026-08-12,3047123,W,FR,22,1,
2026-08-12,3047123,W,FR,23,0,
2026-08-12,3054021,W,OR,00,0,
2026-08-12,3054021,W,OR,01,0,
2026-08-12,3054021,W,OR,02,0,
2026-08-12,3054021,W,OR,03,1,
2026-08-12,3054021,W,OR,04,1,
2026-08-12,3054021,W,OR,05,2,
2026-08-12,3054021,W,OR,06,1,
2026-08-12,3054021,W,OR,07,7,
2026-08-12,3054021,W,OR,08,19,
2026-08-12,3054021,W,OR,09,20,
2026-08-12,3054021,W,OR,10,28,
2026-08-12,3054021,W,OR,11,30,
2026-08-12,3054021,W,OR,12,61,
2026-08-12,3054021,W,OR,13,31,
2026-08-12,3054021,W,OR,14,23,
2026-08-12,3054021,W,OR,15,27,
2026-08-12,3054021,W,OR,16,17,
2026-08-12,3054021,W,OR,17,19,
2026-08-12,3054021,W,OR,18,11,
2026-08-12,3054021,W,OR,19,10,
2026-08-12,3054021,W,OR,20,8,
2026-08-12,3054021,W,OR,21,3,
2026-08-12,3054021,W,OR,22,3,
2026-08-12,3054021,W,OR,23,1,
2026-08-12,3060011,E,ML,00,997,68.1
2026-08-12,3060011,E,ML,01,679,67.9
2026-08-12,3060011,E,ML,02,610,67.7
2026-08-12,3060011,E,ML,03,772,67.9
2026-08-12,3060011,E,ML,04,1391,68.2
2026-08-12,3060011,E,ML,05,3217,68.9
2026-08-12,3060011,E,ML,06,5693,65.3
