date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-09-19,3023111,E,ML,00,324,65.1
2026-09-19,3023111,E,ML,01,152,68.0
2026-09-19,3023111,E,ML,02,137,67.6
2026-09-19,3023111,E,ML,03,101,68.0
2026-09-19,3023111,E,ML,04,135,67.5
2026-09-19,3023111,E,ML,05,163,66.6
2026-09-19,3023111,E,ML,06,297,67.4
2026-09-19,3023111,E,ML,07,393,65.9
2026-09-19,3023111,E,ML,08,581,65.8
2026-09-19,3023111,E,ML,09,798,64.0
2026-09-19,3023111,E,ML,10,952,62.0
2026-09-19,3023111,E,ML,11,925,64.2
2026-09-19,3023111,E,ML,12,1127,59.4
2026-09-19,3023111,E,ML,13,1034,62.5
2026-09-19,3023111,E,ML,14,1156,64.5
2026-09-19,3023111,E,ML,15,1058,61.2
2026-09-19,3023111,E,ML,16,1131,64.3
2026-09-19,3023111,E,ML,17,987,65.7
2026-09-19,3023111,E,ML,18,825,67.2
2026-09-19,3023111,E,ML,19,668,65.3
2026-09-19,3023111,E,ML,20,519,67.1
2026-09-19,3023111,E,ML,21,439,67.0
2026-09-19,3023111,E,ML,22,349,67.0
2026-09-19,3023111,E,ML,23,279,67.7
2026-09-19,3023113,E,FR,00,26,
2026-09-19,3023113,E,FR,01,13,
2026-09-19,3023113,E,FR,02,6,
2026-09-19,3023113,E,FR,03,2,
2026-09-19,3023113,E,FR,04,4,
2026-09-19,3023113,E,FR,05,19,
2026-09-19,3023113,E,FR,06,44,
2026-09-19,3023113,E,FR,07,76,
2026-09-19,3023113,E,FR,08,125,
2026-09-19,3023113,E,FR,09,187,
2026-09-19,3023113,E,FR,10,224,
2026-09-19,3023113,E,FR,11,235,
2026-09-19,3023113,E,FR,12,227,
2026-09-19,3023113,E,FR,13,219,
2026-09-19,3023113,E,FR,14,235,
2026-09-19,3023113,E,FR,15,216,
2026-09-19,3023113,E,FR,16,167,
2026-09-19,3023113,E,FR,17,143,
2026-09-19,3023113,E,FR,18,111,
2026-09-19,3023113,E,FR,19,67,
2026-09-19,3023113,E,FR,20,69,
2026-09-19,3023113,E,FR,21,39,
2026-09-19,3023113,E,FR,22,23,
2026-09-19,3023113,E,FR,23,16,
2026-09-19,3023115,E,OR,00,29,
2026-09-19,3023115,E,OR,01,14,
2026-09-19,3023115,E,OR,02,6,
2026-09-19,3023115,E,OR,03,8,
2026-09-19,3023115,E,OR,04,17,
2026-09-19,3023115,E,OR,05,32,
2026-09-19,3023115,E,OR,06,78,
2026-09-19,3023115,E,OR,07,146,
2026-09-19,3023115,E,OR,08,176,
2026-09-19,3023115,E,OR,09,230,
2026-09-19,3023115,E,OR,10,305,
2026-09-19,3023115,E,OR,11,371,
2026-09-19,3023115,E,OR,12,416,
2026-09-19,3023115,E,OR,13,470,
2026-09-19,3023115,E,OR,14,422,
2026-09-19,3023115,E,OR,15,466,
2026-09-19,3023115,E,OR,16,478,
2026-09-19,3023115,E,OR,17,426,
2026-09-19,3023115,E,OR,18,324,
2026-09-19,3023115,E,OR,19,288,
2026-09-19,3023115,E,OR,20,187,
2026-09-19,3023115,E,OR,21,165,
2026-09-19,3023115,E,OR,22,75,
2026-09-19,3023115,E,OR,23,67,
2026-09-19,3023116,W,FR,00,14,
2026-09-19,3023116,W,FR,01,7,
2026-09-19,3023116,W,FR,02,3,
2026-09-19,3023116,W,FR,03,4,
2026-09-19,3023116,W,FR,04,11,
2026-09-19,3023116,W,FR,05,40,
2026-09-19,3023116,W,FR,06,115,
2026-09-19,3023116,W,FR,07,185,
2026-09-19,3023116,W,FR,08,207,
2026-09-19,3023116,W,FR,09,285,
2026-09-19,3023116,W,FR,10,327,
2026-09-19,3023116,W,FR,11,273,
2026-09-19,3023116,W,FR,12,310,
2026-09-19,3023116,W,FR,13,298,
2026-09-19,3023116,W,FR,14,335,
2026-09-19,3023116,W,FR,15,325,
2026-09-19,3023116,W,FR,16,282,
2026-09-19,3023116,W,FR,17,161,
2026-09-19,3023116,W,FR,18,234,
2026-09-19,3023116,W,FR,19,145,
2026-09-19,3023116,W,FR,20,109,
2026-09-19,3023116,W,FR,21,69,
2026-09-19,3023116,W,FR,22,41,
2026-09-19,3023116,W,FR,23,29,
2026-09-19,3023121,W,ML,00,353,63.4
2026-09-19,3023121,W,ML,01,265,59.6
2026-09-19,3023121,W,ML,02,246,57.0
2026-09-19,3023121,W,ML,03,285,58.9
2026-09-19,3023121,W,ML,04,302,58.0
2026-09-19,3023121,W,ML,05,435,57.9
2026-09-19,3023121,W,ML,06,782,63.7
2026-09-19,3023121,W,ML,07,1299,62.9
2026-09-19,3023121,W,ML,08,1599,59.9
2026-09-19,3023121,W,ML,09,1776,60.6
2026-09-19,3023121,W,ML,10,1950,63.6
2026-09-19,3023121,W,ML,11,1889,60.2
2026-09-19,3023121,W,ML,12,1994,59.6
2026-09-19,3023121,W,ML,13,1827,61.0
2026-09-19,3023121,W,ML,14,1856,62.4
2026-09-19,3023121,W,ML,15,1733,63.4
2026-09-19,3023121,W,ML,16,1807,61.0
2026-09-19,3023121,W,ML,17,1717,59.1
2026-09-19,3023121,W,ML,18,1289,63.1
2026-09-19,3023121,W,ML,19,1233,60.2
2026-09-19,3023121,W,ML,20,882,62.1
2026-09-19,3023121,W,ML,21,783,60.5
2026-09-19,3023121,W,ML,22,578,59.3
2026-09-19,3023121,W,ML,23,416,57.3
2026-09-19,3023124,W,ML,00,0,
2026-09-19,3023124,W,ML,01,0,
2026-09-19,3023124,W,ML,02,0,
2026-09-19,3023124,W,ML,03,0,
2026-09-19,3023124,W,ML,04,0,
2026-09-19,3023124,W,ML,05,0,
2026-09-19,3023124,W,ML,06,8,64.8
2026-09-19,3023124,W,ML,07,23,64.3
2026-09-19,3023124,W,ML,08,91,65.0
2026-09-19,3023124,W,ML,09,144,64.4
2026-09-19,3023124,W,ML,10,163,64.8
2026-09-19,3023124,W,ML,11,174,62.4
2026-09-19,3023124,W,ML,12,201,64.0
2026-09-19,3023124,W,ML,13,216,62.7
2026-09-19,3023124,W,ML,14,169,63.7
2026-09-19,3023124,W,ML,15,196,63.2
2026-09-19,3023124,W,ML,16,186,63.5
2026-09-19,3023124,W,ML,17,165,63.4
2026-09-19,3023124,W,ML,18,112,64.8
2026-09-19,3023124,W,ML,19,86,65.0
2026-09-19,3023124,W,ML,20,21,65.2
2026-09-19,3023124,W,ML,21,11,65.1
2026-09-19,3023124,W,ML,22,1,65.0
2026-09-19,3023124,W,ML,23,0,
2026-09-19,3047111,E,ML,00,271,64.5
2026-09-19,3047111,E,ML,01,165,66.0
2026-09-19,3047111,E,ML,02,160,63.3
2026-09-19,3047111,E,ML,03,131,64.3
2026-09-19,3047111,E,ML,04,168,64.1
2026-09-19,3047111,E,ML,05,243,66.1
2026-09-19,3047111,E,ML,06,419,65.8
2026-09-19,3047111,E,ML,07,563,65.3
2026-09-19,3047111,E,ML,08,765,61.4
2026-09-19,3047111,E,ML,09,975,64.8
2026-09-19,3047111,E,ML,10,1092,65.7
2026-09-19,3047111,E,ML,11,1130,65.4
2026-09-19,3047111,E,ML,12,1117,66.8
2026-09-19,3047111,E,ML,13,1136,64.6
2026-09-19,3047111,E,ML,14,1064,65.5
2026-09-19,3047111,E,ML,15,1068,65.5
2026-09-19,3047111,E,ML,16,976,65.0
2026-09-19,3047111,E,ML,17,799,68.2
2026-09-19,3047111,E,ML,18,697,67.4
2026-09-19,3047111,E,ML,19,655,66.9
2026-09-19,3047111,E,ML,20,535,66.7
2026-09-19,3047111,E,ML,21,433,67.2
2026-09-19,3047111,E,ML,22,373,65.9
2026-09-19,3047111,E,ML,23,285,66.7
2026-09-19,3047112,E,OR,00,1,
2026-09-19,3047112,E,OR,01,2,
2026-09-19,3047112,E,OR,02,0,
2026-09-19,3047112,E,OR,03,1,
2026-09-19,3047112,E,OR,04,0,
2026-09-19,3047112,E,OR,05,0,
2026-09-19,3047112,E,OR,06,2,
2026-09-19,3047112,E,OR,07,4,
2026-09-19,3047112,E,OR,08,3,
2026-09-19,3047112,E,OR,09,4,
2026-09-19,3047112,E,OR,10,5,
2026-09-19,3047112,E,OR,11,1,
2026-09-19,3047112,E,OR,12,9,
2026-09-19,3047112,E,OR,13,6,
2026-09-19,3047112,E,OR,14,3,
2026-09-19,3047112,E,OR,15,2,
2026-09-19,3047112,E,OR,16,11,
2026-09-19,3047112,E,OR,17,5,
2026-09-19,3047112,E,OR,18,6,
2026-09-19,3047112,E,OR,19,5,
2026-09-19,3047112,E,OR,20,3,
2026-09-19,3047112,E,OR,21,0,
2026-09-19,3047112,E,OR,22,5,
2026-09-19,3047112,E,OR,23,2,
2026-09-19,3047113,E,FR,00,2,
2026-09-19,3047113,E,FR,01,3,
2026-09-19,3047113,E,FR,02,1,
2026-09-19,3047113,E,FR,03,2,
2026-09-19,3047113,E,FR,04,10,
