date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-09-24,3023111,E,ML,00,576,63.3
2026-09-24,3023111,E,ML,01,573,62.6
2026-09-24,3023111,E,ML,02,313,65.1
2026-09-24,3023111,E,ML,03,146,68.2
2026-09-24,3023111,E,ML,04,167,68.5
2026-09-24,3023111,E,ML,05,333,68.1
2026-09-24,3023111,E,ML,06,431,66.4
2026-09-24,3023111,E,ML,07,543,69.1
2026-09-24,3023111,E,ML,08,744,65.9
2026-09-24,3023111,E,ML,09,724,66.8
2026-09-24,3023111,E,ML,10,793,65.8
2026-09-24,3023111,E,ML,11,835,65.1
2026-09-24,3023111,E,ML,12,1006,63.0
2026-09-24,3023111,E,ML,13,1083,66.0
2026-09-24,3023111,E,ML,14,1203,69.7
2026-09-24,3023111,E,ML,15,1581,62.9
2026-09-24,3023111,E,ML,16,1273,67.2
2026-09-24,3023111,E,ML,17,1030,67.6
2026-09-24,3023111,E,ML,18,706,66.8
2026-09-24,3023111,E,ML,19,603,68.4
2026-09-24,3023111,E,ML,20,503,65.4
2026-09-24,3023111,E,ML,21,487,64.2
2026-09-24,3023111,E,ML,22,423,67.2
2026-09-24,3023111,E,ML,23,311,68.4
2026-09-24,3023113,E,FR,00,0,
2026-09-24,3023113,E,FR,01,0,
2026-09-24,3023113,E,FR,02,2,
2026-09-24,3023113,E,FR,03,1,
2026-09-24,3023113,E,FR,04,7,
2026-09-24,3023113,E,FR,05,52,
2026-09-24,3023113,E,FR,06,115,
2026-09-24,3023113,E,FR,07,149,
2026-09-24,3023113,E,FR,08,177,
2026-09-24,3023113,E,FR,09,145,
2026-09-24,3023113,E,FR,10,156,
2026-09-24,3023113,E,FR,11,168,
2026-09-24,3023113,E,FR,12,220,
2026-09-24,3023113,E,FR,13,230,
2026-09-24,3023113,E,FR,14,227,
2026-09-24,3023113,E,FR,15,274,
2026-09-24,3023113,E,FR,16,216,
2026-09-24,3023113,E,FR,17,180,
2026-09-24,3023113,E,FR,18,114,
2026-09-24,3023113,E,FR,19,85,
2026-09-24,3023113,E,FR,20,72,
2026-09-24,3023113,E,FR,21,69,
2026-09-24,3023113,E,FR,22,69,
2026-09-24,3023113,E,FR,23,43,
2026-09-24,3023115,E,OR,00,0,
2026-09-24,3023115,E,OR,01,0,
2026-09-24,3023115,E,OR,02,7,
2026-09-24,3023115,E,OR,03,10,
2026-09-24,3023115,E,OR,04,12,
2026-09-24,3023115,E,OR,05,34,
2026-09-24,3023115,E,OR,06,173,
2026-09-24,3023115,E,OR,07,323,
2026-09-24,3023115,E,OR,08,294,
2026-09-24,3023115,E,OR,09,366,
2026-09-24,3023115,E,OR,10,434,
2026-09-24,3023115,E,OR,11,434,
2026-09-24,3023115,E,OR,12,502,
2026-09-24,3023115,E,OR,13,483,
2026-09-24,3023115,E,OR,14,620,
2026-09-24,3023115,E,OR,15,737,
2026-09-24,3023115,E,OR,16,829,
2026-09-24,3023115,E,OR,17,785,
2026-09-24,3023115,E,OR,18,491,
2026-09-24,3023115,E,OR,19,391,
2026-09-24,3023115,E,OR,20,214,
2026-09-24,3023115,E,OR,21,111,
2026-09-24,3023115,E,OR,22,78,
2026-09-24,3023115,E,OR,23,56,
2026-09-24,3023116,W,FR,00,0,
2026-09-24,3023116,W,FR,01,0,
2026-09-24,3023116,W,FR,02,3,
2026-09-24,3023116,W,FR,03,5,
2026-09-24,3023116,W,FR,04,21,
2026-09-24,3023116,W,FR,05,67,
2026-09-24,3023116,W,FR,06,313,
2026-09-24,3023116,W,FR,07,348,
2026-09-24,3023116,W,FR,08,262,
2026-09-24,3023116,W,FR,09,224,
2026-09-24,3023116,W,FR,10,296,
2026-09-24,3023116,W,FR,11,416,
2026-09-24,3023116,W,FR,12,288,
2026-09-24,3023116,W,FR,13,304,
2026-09-24,3023116,W,FR,14,254,
2026-09-24,3023116,W,FR,15,292,
2026-09-24,3023116,W,FR,16,274,
2026-09-24,3023116,W,FR,17,280,
2026-09-24,3023116,W,FR,18,218,
2026-09-24,3023116,W,FR,19,149,
2026-09-24,3023116,W,FR,20,97,
2026-09-24,3023116,W,FR,21,65,
2026-09-24,3023116,W,FR,22,40,
2026-09-24,3023116,W,FR,23,27,
2026-09-24,3023121,W,ML,00,316,62.9
2026-09-24,3023121,W,ML,01,214,62.4
2026-09-24,3023121,W,ML,02,279,61.6
2026-09-24,3023121,W,ML,03,306,56.8
2026-09-24,3023121,W,ML,04,369,58.7
2026-09-24,3023121,W,ML,05,555,56.7
2026-09-24,3023121,W,ML,06,910,61.3
2026-09-24,3023121,W,ML,07,1535,59.8
2026-09-24,3023121,W,ML,08,1690,55.3
2026-09-24,3023121,W,ML,09,1696,53.1
2026-09-24,3023121,W,ML,10,1762,55.2
2026-09-24,3023121,W,ML,11,1846,52.6
2026-09-24,3023121,W,ML,12,1975,51.4
2026-09-24,3023121,W,ML,13,1862,54.3
2026-09-24,3023121,W,ML,14,1916,55.6
2026-09-24,3023121,W,ML,15,1785,59.0
2026-09-24,3023121,W,ML,16,1809,57.0
2026-09-24,3023121,W,ML,17,1641,57.8
2026-09-24,3023121,W,ML,18,1471,55.5
2026-09-24,3023121,W,ML,19,1202,57.2
2026-09-24,3023121,W,ML,20,1043,65.2
2026-09-24,3023121,W,ML,21,707,62.6
2026-09-24,3023121,W,ML,22,589,57.8
2026-09-24,3023121,W,ML,23,416,60.9
2026-09-24,3023124,W,ML,00,261,62.9
2026-09-24,3023124,W,ML,01,243,61.9
2026-09-24,3023124,W,ML,02,97,61.5
2026-09-24,3023124,W,ML,03,1,67.2
2026-09-24,3023124,W,ML,04,0,
2026-09-24,3023124,W,ML,05,0,
2026-09-24,3023124,W,ML,06,10,65.5
2026-09-24,3023124,W,ML,07,83,64.7
2026-09-24,3023124,W,ML,08,108,65.7
2026-09-24,3023124,W,ML,09,148,64.6
2026-09-24,3023124,W,ML,10,148,63.3
2026-09-24,3023124,W,ML,11,181,63.0
2026-09-24,3023124,W,ML,12,202,65.8
2026-09-24,3023124,W,ML,13,207,64.1
2026-09-24,3023124,W,ML,14,216,64.9
2026-09-24,3023124,W,ML,15,208,62.9
2026-09-24,3023124,W,ML,16,195,65.3
2026-09-24,3023124,W,ML,17,159,65.9
2026-09-24,3023124,W,ML,18,115,65.4
2026-09-24,3023124,W,ML,19,51,64.0
2026-09-24,3023124,W,ML,20,13,64.4
2026-09-24,3023124,W,ML,21,5,64.6
2026-09-24,3023124,W,ML,22,1,64.9
2026-09-24,3023124,W,ML,23,0,
2026-09-24,3047111,E,ML,00,207,64.6
2026-09-24,3047111,E,ML,01,169,65.3
2026-09-24,3047111,E,ML,02,180,66.1
2026-09-24,3047111,E,ML,03,151,64.8
2026-09-24,3047111,E,ML,04,238,65.3
2026-09-24,3047111,E,ML,05,491,65.6
2026-09-24,3047111,E,ML,06,627,67.4
2026-09-24,3047111,E,ML,07,686,65.2
2026-09-24,3047111,E,ML,08,763,65.9
2026-09-24,3047111,E,ML,09,788,67.4
2026-09-24,3047111,E,ML,10,849,67.6
2026-09-24,3047111,E,ML,11,902,68.7
2026-09-24,3047111,E,ML,12,997,69.0
2026-09-24,3047111,E,ML,13,1047,69.4
2026-09-24,3047111,E,ML,14,1429,68.6
2026-09-24,3047111,E,ML,15,1177,66.7
2026-09-24,3047111,E,ML,16,1004,69.1
2026-09-24,3047111,E,ML,17,789,68.5
2026-09-24,3047111,E,ML,18,640,66.7
2026-09-24,3047111,E,ML,19,625,64.7
2026-09-24,3047111,E,ML,20,574,65.2
2026-09-24,3047111,E,ML,21,627,64.2
2026-09-24,3047111,E,ML,22,500,65.4
2026-09-24,3047111,E,ML,23,351,66.5
2026-09-24,3047112,E,OR,00,1,
2026-09-24,3047112,E,OR,01,2,
2026-09-24,3047112,E,OR,02,0,
2026-09-24,3047112,E,OR,03,2,
2026-09-24,3047112,E,OR,04,1,
2026-09-24,3047112,E,OR,05,1,
2026-09-24,3047112,E,OR,06,3,
2026-09-24,3047112,E,OR,07,3,
2026-09-24,3047112,E,OR,08,6,
2026-09-24,3047112,E,OR,09,5,
2026-09-24,3047112,E,OR,10,4,
2026-09-24,3047112,E,OR,11,5,
2026-09-24,3047112,E,OR,12,6,
2026-09-24,3047112,E,OR,13,5,
2026-09-24,3047112,E,OR,14,2,
2026-09-24,3047112,E,OR,15,5,
2026-09-24,3047112,E,OR,16,3,
2026-09-24,3047112,E,OR,17,4,
2026-09-24,3047112,E,OR,18,3,
2026-09-24,3047112,E,OR,19,4,
2026-09-24,3047112,E,OR,20,2,
2026-09-24,3047112,E,OR,21,2,
2026-09-24,3047112,E,OR,22,3,
2026-09-24,3047112,E,OR,23,2,
2026-09-24,3047113,E,FR,00,2,
2026-09-24,3047113,E,FR,01,3,
2026-09-24,3047113,E,FR,02,8,
2026-09-24,3047113,E,FR,03,2,
2026-09-24,3047113,E,FR,04,2,
2026-09-24,3047113,E,FR,05,6,
2026-09-24,3047113,E,FR,06,21,
2026-09-24,3047113,E,FR,07,11,
2026-09-24,3047113,E,FR,08,10,
2026-09-24,3047113,E,FR,09,13,
2026-09-24,3047113,E,FR,10,10,
2026-09-24,3047113,E,FR,11,13,
2026-09-24,3047113,E,FR,12,22,
2026-09-24,3047113,E,FR,13,24,
2026-09-24,3047113,E,FR,14,36,
2026-09-24,3047113,E,FR,15,31,
2026-09-24,3047113,E,FR,16,21,
2026-09-24,3047113,E,FR,17,22,
2026-09-24,3047113,E,FR,18,9,
2026-09-24,3047113,E,FR,19,11,
2026-09-24,3047113,E,FR,20,3,
2026-09-24,3047113,E,FR,21,4,
2026-09-24,3047113,E,FR,22,3,
2026-09-24,3047113,E,FR,23,3,
2026-09-24,3047121,W,ML,00,591,56.1
2026-09-24,3047121,W,ML,01,577,58.2
2026-09-24,3047121,W,ML,02,562,59.3
2026-09-24,3047121,W,ML,03,563,60.4
2026-09-24,3047121,W,ML,04,555,61.3
2026-09-24,3047121,W,ML,05,598,59.1
2026-09-24,3047121,W,ML,06,657,57.7
2026-09-24,3047121,W,ML,07,715,60.3
2026-09-24,3047121,W,ML,08,806,63.2
2026-09-24,3047121,W,ML,09,890,61.7
2026-09-24,3047121,W,ML,10,914,60.8
2026-09-24,3047121,W,ML,11,952,60.0
2026-09-24,3047121,W,ML,12,992,58.6
2026-09-24,3047121,W,ML,13,916,58.6
2026-09-24,3047121,W,ML,14,890,59.2
2026-09-24,3047121,W,ML,15,872,59.2
