date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-08-22,3023111,E,ML,00,258,66.6
2026-08-22,3023111,E,ML,01,206,67.2
2026-08-22,3023111,E,ML,02,155,66.8
2026-08-22,3023111,E,ML,03,173,67.5
2026-08-22,3023111,E,ML,04,191,67.7
2026-08-22,3023111,E,ML,05,224,67.3
2026-08-22,3023111,E,ML,06,325,66.0
2026-08-22,3023111,E,ML,07,500,66.6
2026-08-22,3023111,E,ML,08,793,66.6
2026-08-22,3023111,E,ML,09,1044,67.5
2026-08-22,3023111,E,ML,10,1195,65.7
2026-08-22,3023111,E,ML,11,1270,64.2
2026-08-22,3023111,E,ML,12,1390,65.4
2026-08-22,3023111,E,ML,13,1247,65.0
2026-08-22,3023111,E,ML,14,1426,66.2
2026-08-22,3023111,E,ML,15,1390,65.9
2026-08-22,3023111,E,ML,16,1359,65.8
2026-08-22,3023111,E,ML,17,1172,65.6
2026-08-22,3023111,E,ML,18,1036,67.3
2026-08-22,3023111,E,ML,19,806,67.0
2026-08-22,3023111,E,ML,20,640,67.1
2026-08-22,3023111,E,ML,21,503,67.2
2026-08-22,3023111,E,ML,22,390,66.1
2026-08-22,3023111,E,ML,23,397,67.2
2026-08-22,3023113,E,FR,00,32,
2026-08-22,3023113,E,FR,01,11,
2026-08-22,3023113,E,FR,02,10,
2026-08-22,3023113,E,FR,03,9,
2026-08-22,3023113,E,FR,04,8,
2026-08-22,3023113,E,FR,05,8,
2026-08-22,3023113,E,FR,06,51,
2026-08-22,3023113,E,FR,07,127,
2026-08-22,3023113,E,FR,08,181,
2026-08-22,3023113,E,FR,09,262,
2026-08-22,3023113,E,FR,10,323,
2026-08-22,3023113,E,FR,11,346,
2026-08-22,3023113,E,FR,12,351,
2026-08-22,3023113,E,FR,13,283,
2026-08-22,3023113,E,FR,14,264,
2026-08-22,3023113,E,FR,15,275,
2026-08-22,3023113,E,FR,16,231,
2026-08-22,3023113,E,FR,17,200,
2026-08-22,3023113,E,FR,18,31,
