date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-08-23,3023111,E,ML,00,246,67.0
2026-08-23,3023111,E,ML,01,156,67.6
2026-08-23,3023111,E,ML,02,131,67.6
2026-08-23,3023111,E,ML,03,85,68.5
2026-08-23,3023111,E,ML,04,106,68.6
2026-08-23,3023111,E,ML,05,115,68.0
2026-08-23,3023111,E,ML,06,210,68.3
2026-08-23,3023111,E,ML,07,274,68.1
2026-08-23,3023111,E,ML,08,556,66.6
2026-08-23,3023111,E,ML,09,751,67.3
2026-08-23,3023111,E,ML,10,838,67.5
2026-08-23,3023111,E,ML,11,1012,66.9
2026-08-23,3023111,E,ML,12,1090,66.3
2026-08-23,3023111,E,ML,13,1324,65.9
2026-08-23,3023111,E,ML,14,1350,65.2
2026-08-23,3023111,E,ML,15,1296,62.2
2026-08-23,3023111,E,ML,16,1268,66.6
2026-08-23,3023111,E,ML,17,1137,67.9
2026-08-23,3023111,E,ML,18,1098,66.3
2026-08-23,3023111,E,ML,19,861,67.2
2026-08-23,3023111,E,ML,20,661,62.8
2026-08-23,3023111,E,ML,21,551,56.6
2026-08-23,3023111,E,ML,22,316,66.0
2026-08-23,3023111,E,ML,23,250,67.6
2026-08-23,3023113,E,FR,00,10,
2026-08-23,3023113,E,FR,01,14,
2026-08-23,3023113,E,FR,02,7,
2026-08-23,3023113,E,FR,03,8,
2026-08-23,3023113,E,FR,04,3,
2026-08-23,3023113,E,FR,05,10,
2026-08-23,3023113,E,FR,06,22,
2026-08-23,3023113,E,FR,07,61,
2026-08-23,3023113,E,FR,08,104,
2026-08-23,3023113,E,FR,09,168,
2026-08-23,3023113,E,FR,10,193,
2026-08-23,3023113,E,FR,11,254,
2026-08-23,3023113,E,FR,12,260,
2026-08-23,3023113,E,FR,13,256,
2026-08-23,3023113,E,FR,14,228,
2026-08-23,3023113,E,FR,15,225,
2026-08-23,3023113,E,FR,16,230,
2026-08-23,3023113,E,FR,17,181,
2026-08-23,3023113,E,FR,18,148,
2026-08-23,3023113,E,FR,19,115,
2026-08-23,3023113,E,FR,20,78,
2026-08-23,3023113,E,FR,21,63,
2026-08-23,3023113,E,FR,22,40,
2026-08-23,3023113,E,FR,23,21,
2026-08-23,3023115,E,OR,00,47,
2026-08-23,3023115,E,OR,01,30,
2026-08-23,3023115,E,OR,02,16,
2026-08-23,3023115,E,OR,03,16,
2026-08-23,3023115,E,OR,04,27,
2026-08-23,3023115,E,OR,05,45,
2026-08-23,3023115,E,OR,06,80,
2026-08-23,3023115,E,OR,07,125,
2026-08-23,3023115,E,OR,08,199,
2026-08-23,3023115,E,OR,09,290,
2026-08-23,3023115,E,OR,10,348,
2026-08-23,3023115,E,OR,11,386,
2026-08-23,3023115,E,OR,12,451,
2026-08-23,3023115,E,OR,13,464,
2026-08-23,3023115,E,OR,14,417,
2026-08-23,3023115,E,OR,15,342,
2026-08-23,3023115,E,OR,16,444,
2026-08-23,3023115,E,OR,17,414,
2026-08-23,3023115,E,OR,18,332,
2026-08-23,3023115,E,OR,19,251,
2026-08-23,3023115,E,OR,20,179,
2026-08-23,3023115,E,OR,21,126,
2026-08-23,3023115,E,OR,22,98,
2026-08-23,3023115,E,OR,23,54,
2026-08-23,3023116,W,FR,00,70,
2026-08-23,3023116,W,FR,01,36,
2026-08-23,3023116,W,FR,02,23,
2026-08-23,3023116,W,FR,03,12,
2026-08-23,3023116,W,FR,04,15,
2026-08-23,3023116,W,FR,05,31,
2026-08-23,3023116,W,FR,06,86,
2026-08-23,3023116,W,FR,07,145,
2026-08-23,3023116,W,FR,08,187,
2026-08-23,3023116,W,FR,09,264,
2026-08-23,3023116,W,FR,10,290,
2026-08-23,3023116,W,FR,11,283,
2026-08-23,3023116,W,FR,12,228,
2026-08-23,3023116,W,FR,13,228,
2026-08-23,3023116,W,FR,14,208,
2026-08-23,3023116,W,FR,15,215,
2026-08-23,3023116,W,FR,16,229,
2026-08-23,3023116,W,FR,17,191,
2026-08-23,3023116,W,FR,18,126,
2026-08-23,3023116,W,FR,19,166,
2026-08-23,3023116,W,FR,20,111,
2026-08-23,3023116,W,FR,21,73,
2026-08-23,3023116,W,FR,22,95,
2026-08-23,3023116,W,FR,23,60,
2026-08-23,3023121,W,ML,00,777,65.0
2026-08-23,3023121,W,ML,01,367,60.0
2026-08-23,3023121,W,ML,02,239,59.9
2026-08-23,3023121,W,ML,03,229,59.4
2026-08-23,3023121,W,ML,04,234,59.6
2026-08-23,3023121,W,ML,05,264,59.5
2026-08-23,3023121,W,ML,06,610,58.8
2026-08-23,3023121,W,ML,07,944,61.1
2026-08-23,3023121,W,ML,08,1709,61.2
2026-08-23,3023121,W,ML,09,2222,62.3
2026-08-23,3023121,W,ML,10,2836,55.3
2026-08-23,3023121,W,ML,11,2978,50.4
2026-08-23,3023121,W,ML,12,2840,51.0
2026-08-23,3023121,W,ML,13,2769,50.8
2026-08-23,3023121,W,ML,14,2754,50.8
2026-08-23,3023121,W,ML,15,2363,60.1
2026-08-23,3023121,W,ML,16,2249,59.5
2026-08-23,3023121,W,ML,17,2125,59.7
2026-08-23,3023121,W,ML,18,1934,59.5
2026-08-23,3023121,W,ML,19,1570,56.3
2026-08-23,3023121,W,ML,20,1129,56.4
2026-08-23,3023121,W,ML,21,735,56.4
2026-08-23,3023121,W,ML,22,555,52.8
2026-08-23,3023121,W,ML,23,489,57.2
2026-08-23,3023124,W,ML,00,2,64.8
2026-08-23,3023124,W,ML,01,1,65.2
2026-08-23,3023124,W,ML,02,0,
2026-08-23,3023124,W,ML,03,0,
2026-08-23,3023124,W,ML,04,0,
2026-08-23,3023124,W,ML,05,0,
2026-08-23,3023124,W,ML,06,18,65.0
2026-08-23,3023124,W,ML,07,43,64.8
2026-08-23,3023124,W,ML,08,229,64.4
2026-08-23,3023124,W,ML,09,382,63.8
