date,station,dir,lane_type,hour,vehicles,avg_speed_mph
2026-09-09,3023111,E,ML,00,220,67.6
2026-09-09,3023111,E,ML,01,179,68.2
2026-09-09,3023111,E,ML,02,197,68.2
2026-09-09,3023111,E,ML,03,162,68.7
2026-09-09,3023111,E,ML,04,224,68.3
2026-09-09,3023111,E,ML,05,339,67.2
2026-09-09,3023111,E,ML,06,588,67.0
2026-09-09,3023111,E,ML,07,636,66.9
2026-09-09,3023111,E,ML,08,705,69.9
2026-09-09,3023111,E,ML,09,675,65.8
2026-09-09,3023111,E,ML,10,825,67.7
2026-09-09,3023111,E,ML,11,876,68.1
2026-09-09,3023111,E,ML,12,864,67.9
2026-09-09,3023111,E,ML,13,988,62.6
2026-09-09,3023111,E,ML,14,1009,63.2
2026-09-09,3023111,E,ML,15,1032,63.6
2026-09-09,3023111,E,ML,16,1191,62.0
2026-09-09,3023111,E,ML,17,901,61.7
2026-09-09,3023111,E,ML,18,686,62.6
2026-09-09,3023111,E,ML,19,595,65.4
2026-09-09,3023111,E,ML,20,503,66.9
2026-09-09,3023111,E,ML,21,397,67.0
2026-09-09,3023111,E,ML,22,328,67.7
2026-09-09,3023111,E,ML,23,262,68.1
2026-09-09,3023113,E,FR,00,4,
2026-09-09,3023113,E,FR,01,13,
2026-09-09,3023113,E,FR,02,3,
2026-09-09,3023113,E,FR,03,4,
2026-09-09,3023113,E,FR,04,8,
2026-09-09,3023113,E,FR,05,63,
2026-09-09,3023113,E,FR,06,98,
2026-09-09,3023113,E,FR,07,151,
2026-09-09,3023113,E,FR,08,166,
2026-09-09,3023113,E,FR,09,183,
2026-09-09,3023113,E,FR,10,171,
2026-09-09,3023113,E,FR,11,167,
2026-09-09,3023113,E,FR,12,192,
2026-09-09,3023113,E,FR,13,190,
2026-09-09,3023113,E,FR,14,228,
2026-09-09,3023113,E,FR,15,212,
2026-09-09,3023113,E,FR,16,213,
2026-09-09,3023113,E,FR,17,160,
2026-09-09,3023113,E,FR,18,150,
2026-09-09,3023113,E,FR,19,66,
2026-09-09,3023113,E,FR,20,59,
2026-09-09,3023113,E,FR,21,40,
2026-09-09,3023113,E,FR,22,29,
2026-09-09,3023113,E,FR,23,28,
2026-09-09,3023115,E,OR,00,22,
2026-09-09,3023115,E,OR,01,13,
2026-09-09,3023115,E,OR,02,3,
2026-09-09,3023115,E,OR,03,13,
2026-09-09,3023115,E,OR,04,27,
2026-09-09,3023115,E,OR,05,54,
2026-09-09,3023115,E,OR,06,143,
2026-09-09,3023115,E,OR,07,361,
2026-09-09,3023115,E,OR,08,284,
2026-09-09,3023115,E,OR,09,364,
2026-09-09,3023115,E,OR,10,376,
2026-09-09,3023115,E,OR,11,447,
2026-09-09,3023115,E,OR,12,464,
2026-09-09,3023115,E,OR,13,481,
2026-09-09,3023115,E,OR,14,569,
2026-09-09,3023115,E,OR,15,677,
2026-09-09,3023115,E,OR,16,847,
2026-09-09,3023115,E,OR,17,833,
2026-09-09,3023115,E,OR,18,452,
2026-09-09,3023115,E,OR,19,432,
2026-09-09,3023115,E,OR,20,304,
2026-09-09,3023115,E,OR,21,144,
2026-09-09,3023115,E,OR,22,77,
2026-09-09,3023115,E,OR,23,58,
2026-09-09,3023116,W,FR,00,14,
2026-09-09,3023116,W,FR,01,9,
2026-09-09,3023116,W,FR,02,6,
2026-09-09,3023116,W,FR,03,8,
2026-09-09,3023116,W,FR,04,24,
2026-09-09,3023116,W,FR,05,82,
2026-09-09,3023116,W,FR,06,321,
2026-09-09,3023116,W,FR,07,350,
2026-09-09,3023116,W,FR,08,370,
2026-09-09,3023116,W,FR,09,324,
2026-09-09,3023116,W,FR,10,277,
2026-09-09,3023116,W,FR,11,358,
